<<<<<<< HEAD
ID;Clasificacion
PV5;1
PV4;1
PV3;0
PV2;0
PV8;0
PV18;1
PV19;1
PV27;1
PV28;1
PV25;1
PV24;0
PV29;0
PV32;1
PV33;0
PV9;1
PV14;1
PV34;0
PV35;1
PV36;0
PV31;0
PV21;1
PV20;1
PV23;0
PV11;1
PV7;0
PV1;1
PV12;1
PV13;0
PV38;1
PV47;1
PV22;0
PV48;0
PV44;0
PV41;1
PV42;0
PV43;0
PV45;0
PV15;0
PV40;1
PV39;1
PV46;1
PV16;0
R1;1
R9;1
R8;0
R3;1
R16;1
R18;1
R24;0
R19;0
R31;0
R32;1
R34;0
R35;1
R23;0
R11;0
R17;1
R40;0
R39;0
R38;1
R30;1
R29;1
R27;0
R28;0
R26;0
R20;0
R22;0
R21;1
R15;1
R25;1
R5;0
R4;1
R33;0
R36;0
R12;1
R13;0
R14;0
R37;0
R41;1
R42;0
=======
ID;Clasificacion
PV5;1
PV4;1
PV3;0
PV2;0
PV8;0
PV18;1
PV19;1
PV27;1
PV28;1
PV25;1
PV24;0
PV29;0
PV32;1
PV33;0
PV9;1
PV14;1
PV34;0
PV35;1
PV36;0
PV31;0
PV21;1
PV20;1
PV23;0
PV11;1
PV7;0
PV1;1
PV12;1
PV13;0
PV38;1
PV47;1
PV22;0
PV48;0
PV44;0
PV41;1
PV42;0
PV43;0
PV45;0
PV15;0
PV40;1
PV39;1
PV46;1
PV16;0
R1;1
R9;1
R8;0
R3;1
R16;1
R18;1
R24;0
R19;0
R31;0
R32;1
R34;0
R35;1
R23;0
R11;0
R17;1
R40;0
R39;0
R38;1
R30;1
R29;1
R27;0
R28;0
R26;0
R20;0
R22;0
R21;1
R15;1
R25;1
R5;0
R4;1
R33;0
R36;0
R12;1
R13;0
R14;0
R37;0
R41;1
R42;0
>>>>>>> c2e4db51f1503b4fc8aba5a9b60ac07ef633dd75
