Rulero,Escuela,Distancia,x_wgs,y_wgs
2,"""PROFESORA CATALINA LUISA SCALISE""",1344.413231,-68.86139,-32.86562
2,Cóndor de los Andes,3826.56171,-68.86139,-32.86562
2,PROFESOR OCTAVIO CORRADINI,3670.66235,-68.86139,-32.86562
2,"""MAESTRA OFELIA RAQUEL CHAUQUE""",5457.334831,-68.91318,-32.88824
2,TUPUNGATO,1379.030217,-68.86378,-32.87789
2,GRANADEROS DE LOS ANDES,3811.196147,-68.86139,-32.86562
2,"SIN NOMBRE
",4225.541728,-68.86139,-32.86562
2,ARRUMACOS,2474.897117,-68.86139,-32.86562
2,AGNES GONXHA,3963.177843,-68.86139,-32.86562
2,CARICIAS DE MIEL CDIYF N° 2,2869.881778,-68.86139,-32.86562
2,LA NUEVA CASITA,3088.984812,-68.86139,-32.86562
2,SIN NOMBRE,2188.556061,-68.86139,-32.86562
2,PRIMERA FUNDACION DE MENDOZA,3307.593407,-68.86139,-32.86562
2,S/NOMBRE,2896.665638,-68.8768,-32.88827
2,SIN NOMBRE,2191.744782,-68.86139,-32.86562
2,APANDO,2799.734084,-68.86139,-32.86562
2,COLEGIO ANDINO,4622.737252,-68.86139,-32.86562
2,F. CHOPIN,1311.001188,-68.86139,-32.86562
2,INSTITUTO CERVANTES (CENS),3153.462972,-68.86139,-32.86562
2,Profesor Fabián Roberto Testa,1234.667167,-68.86968,-32.87428
2,Profesor Fabián Roberto Testa,1361.34402,-68.87153,-32.87442
2,SAN GABRIEL,4162.783465,-68.86139,-32.86562
2,COLONIA Pfsor Luis Enrique Lucca,8802.471242,-68.94778,-32.89702
2,JUAN ESTEBAN PEDERNERA,3828.787355,-68.86139,-32.86562
2,COMBATE DE SAN LORENZO,3325.408922,-68.86139,-32.86562
2,PUESTO LIMA,5410.441726,-68.91269,-32.88811
2,JUAN ESTEBAN PEDERNERA,3192.798439,-68.86139,-32.86562
2,DPTO. DE APLIC. CARMEN VERA ARENAS,3443.428902,-68.86139,-32.86562
2,P.JOSE M.LLORENS,693.1848586,-68.86721,-32.86949
2,COMBATE DE SAN LORENZO,3427.661504,-68.86139,-32.86562
2,JARDIN NUCLEADO,112.1462353,-68.86258,-32.86575
2,INMACULADO CORAZON DE MARIA,5151.553004,-68.90918,-32.88867
2,S.T.R.O.B.E.R.I.,3781.377342,-68.86139,-32.86562
2,DR.MAX NORDAU,3035.273951,-68.86139,-32.86562
2,INSTITUTO NADINO,1871.814285,-68.86139,-32.86562
2,ESCUELA N�?? 4-174,4637.328356,-68.90279,-32.8886
2,Instituto de Educacion Superior,3363.394135,-68.86139,-32.86562
2,LUMEN DE SAN JOSE DE CALASANZ,2819.222275,-68.86139,-32.86562
2,"""Prof. Carlos Fuentealba""",3047.295078,-68.86139,-32.86562
2,HOSPITAL CENTRAL,3912.041042,-68.86139,-32.86562
2,ESCUELA REGIONAL CUYO DE CINE Y VIDEO,4247.756705,-68.86139,-32.86562
2,CABO ERNESTO URBINA,821.1748666,-68.86467,-32.87248
2,JUAN AGUSTIN MAZA,3724.44725,-68.86139,-32.86562
2,SIN NOMBRE,5298.951445,-68.90665,-32.89433
2,BLOSSOM,3214.337474,-68.86139,-32.86562
2,CRECER,2557.256479,-68.86139,-32.86562
2,INSTITUTO TECNOLOGICO DE MENDOZA,3657.63231,-68.86139,-32.86562
2,COLEGIO BLOSSOM  AMERICANO,3218.381988,-68.86139,-32.86562
2,INMACULADO CORAZON DE MARIA,5165.006814,-68.90933,-32.8887
2,RIO MENDOZA,514.8832863,-68.86555,-32.86865
2,INSTITUTO FERNANDO FADER,2992.101417,-68.86139,-32.86562
2,INSTITUTO SUPERIOR DE FORMACION GERENCIA,3970.950429,-68.86139,-32.86562
2,INST. DE DOCENCIA INV. Y CAPACIT. LABORA,4333.024446,-68.86139,-32.86562
2,INSTITUTO CUYANO DE CULTURA MUSICAL,3089.451252,-68.86139,-32.86562
2,ESCUELA CRISTIANA EVANGELICA MENDOZA,3202.268021,-68.86139,-32.86562
2,CERVANTES (CENS),3162.284314,-68.86139,-32.86562
2,INST. SUP. DE TECNOL. GRAFICA GUTEMBERG,3015.993608,-68.86139,-32.86562
2,"ESCUELA DE PSICOLOGIA ""DR. E. P. RIVIERE",3527.583526,-68.86139,-32.86562
2,INSTITUTO MENDOZA DE ENSE¥ANZA SUPERIOR,3701.712666,-68.86139,-32.86562
2,FELIX DARDO PALORMA,2468.369131,-68.86139,-32.86562
2,CARLOS VARAS GAZARI,2424.454349,-68.86139,-32.86562
2,LEONARDO FAVIO,1221.667636,-68.8695,-32.87425
2,Josefa Dominga Balcarce San Martin,3172.158954,-68.86139,-32.86562
2,WOLFGANG AMADEO MOZART,3373.567904,-68.86139,-32.86562
2,LIBERTADOR DE LOS ANDES,3463.390878,-68.86139,-32.86562
2,DR.OSVALDO S BORGHI,534.8844452,-68.86156,-32.87044
2,EVA PERON,2801.56734,-68.8752,-32.88803
2,SAN ANTONIO MARIA CLARET,5154.543755,-68.90926,-32.88861
2,LICEO AGRICOLA Y ENOLOGICO D. F. SARMIEN,3905.552589,-68.88551,-32.89436
2,ESCUELA DE COMERCIO MARTIN ZAPATA,3579.551819,-68.86139,-32.86562
2,JARDIN MATERNAL CRICYT,3328.136541,-68.87522,-32.89326
2,ALGARROBO,4685.733766,-68.90323,-32.88883
2,LA FAVORITA,5021.450467,-68.90734,-32.889
2,CERRO DE LA GLORIA,4669.946679,-68.90295,-32.88893
2,ESCUELA N�?? 3-447 (CENS),4686.527962,-68.90312,-32.88898
2,SAN ANTONIO M. CLARET,5148.311948,-68.90921,-32.88858
2,MANUEL LAINEZ,3936.377738,-68.86139,-32.86562
2,CASA DEL NI¥O CORAZON DE MARIA,5343.745582,-68.91061,-32.89005
2,J. MATERNAL CASA DEL NI¥O,5338.798184,-68.91053,-32.89008
2,QUIMICOS ARGENTINOS,3578.363515,-68.86139,-32.86562
2,PADRE CLARET,3329.245915,-68.86139,-32.86562
2,ADELA PONCE DE BOSSHARDT,3940.7451,-68.86139,-32.86562
2,FRANCISCO N DE LAPRIDA,3828.643086,-68.86139,-32.86562
2,DANIEL VIDELA CORREAS,3152.129753,-68.86139,-32.86562
2,GRAL LAS HERAS,3301.133217,-68.86139,-32.86562
2,PADRE CLARET,3328.652231,-68.86139,-32.86562
2,INSTITUTO CUYANO DE CULTURA MUSICAL,3087.658276,-68.86139,-32.86562
2,JOSE VICENTE ZAPATA,3355.296318,-68.86139,-32.86562
