ID,x_wgs,y_wgs
228,-68.85272,-32.87181
229,-68.85335,-32.8717
230,-68.85423,-32.87229
231,-68.85302,-32.87251
232,-68.85232,-32.87265
233,-68.85226,-32.87266
234,-68.8508,-32.87292
235,-68.8499,-32.87309
236,-68.85131,-32.87207
237,-68.85128,-32.87207
238,-68.85061,-32.87219
239,-68.85156,-32.87278
240,-68.84991,-32.87309
241,-68.8501,-32.87386
242,-68.85039,-32.87492
243,-68.85186,-32.87354
244,-68.85262,-32.8734
245,-68.851,-32.87369
246,-68.85335,-32.87327
247,-68.85364,-32.87433
248,-68.8529,-32.87447
249,-68.85214,-32.8746
250,-68.85124,-32.87476
251,-68.85241,-32.87566
252,-68.85438,-32.87308
253,-68.84299,-32.87625
254,-68.84317,-32.8775
255,-68.84267,-32.87755
256,-68.84239,-32.87757
257,-68.84212,-32.87758
258,-68.84187,-32.87761
259,-68.84142,-32.87766
260,-68.84488,-32.87597
261,-68.84424,-32.87826
262,-68.84293,-32.87852
263,-68.84217,-32.87867
264,-68.84173,-32.87876
265,-68.84122,-32.87767
266,-68.84153,-32.87878
267,-68.84478,-32.87591
268,-68.84511,-32.87681
269,-68.84508,-32.87683
270,-68.84401,-32.87739
271,-68.83851,-32.87701
272,-68.83856,-32.87719
273,-68.8389,-32.87842
274,-68.8376,-32.87849
275,-68.84054,-32.87975
276,-68.84057,-32.87974
277,-68.90507,-32.88749
278,-68.90505,-32.88749
279,-68.90491,-32.88757
280,-68.90479,-32.8876
281,-68.90162,-32.8879
282,-68.90253,-32.88791
283,-68.9042,-32.88776
284,-68.9045,-32.8877
285,-68.90517,-32.88639
286,-68.90211,-32.88637
287,-68.90154,-32.88618
288,-68.90324,-32.88675
289,-68.90306,-32.88668
290,-68.9041,-32.8871
291,-68.90474,-32.88736
292,-68.90156,-32.88758
293,-68.90366,-32.88875
294,-68.90351,-32.88932
295,-68.90135,-32.88899
296,-68.87175,-32.87539
297,-68.87286,-32.87648
298,-68.87252,-32.87564
299,-68.87301,-32.87693
300,-68.87307,-32.8771
301,-68.87301,-32.87695
302,-68.87235,-32.87711
303,-68.87165,-32.87731
304,-68.87315,-32.87734
305,-68.87249,-32.8775
306,-68.87099,-32.87754
307,-68.87178,-32.87767
308,-68.87166,-32.87735
309,-68.87329,-32.87769
310,-68.87108,-32.87787
311,-68.87114,-32.87804
312,-68.87388,-32.87928
313,-68.85302,-32.88506
314,-68.85323,-32.8858
315,-68.85766,-32.88496
316,-68.85649,-32.88518
317,-68.85616,-32.88525
318,-68.85793,-32.88602
319,-68.85678,-32.88625
320,-68.85524,-32.88654
321,-68.85488,-32.88515
322,-68.85496,-32.88547
323,-68.8561,-32.88369
324,-68.85452,-32.88376
325,-68.84348,-32.88535
326,-68.84438,-32.88401
327,-68.84318,-32.88423
328,-68.84026,-32.88362
329,-68.84376,-32.88163
330,-68.84253,-32.88174
331,-68.84327,-32.88539
332,-68.84535,-32.88267
333,-68.84409,-32.88291
334,-68.84288,-32.88313
335,-68.84269,-32.88318
336,-68.8415,-32.88339
337,-68.84299,-32.88427
338,-68.8418,-32.88449
339,-68.84233,-32.88176
340,-68.84112,-32.88188
341,-68.83685,-32.88089
342,-68.83656,-32.8809
343,-68.83656,-32.88092
344,-68.83901,-32.88386
345,-68.83957,-32.88093
346,-68.83897,-32.88099
347,-68.83828,-32.88105
348,-68.83984,-32.88199
349,-68.83926,-32.88204
350,-68.83856,-32.88212
351,-68.83753,-32.8835
352,-68.83684,-32.88353
353,-68.83666,-32.88354
354,-68.83768,-32.8841
355,-68.83712,-32.88312
356,-68.83692,-32.88118
357,-68.83721,-32.88225
358,-68.83691,-32.88227
359,-68.86238,-32.89226
360,-68.86209,-32.89091
361,-68.86025,-32.89016
362,-68.85895,-32.89039
363,-68.85792,-32.89059
364,-68.85811,-32.89133
365,-68.86034,-32.89124
366,-68.85928,-32.89144
367,-68.85895,-32.89145
368,-68.85895,-32.89151
369,-68.85819,-32.89164
370,-68.86015,-32.88905
371,-68.85897,-32.88927
372,-68.86035,-32.89255
373,-68.86039,-32.89135
374,-68.85895,-32.89247
375,-68.85895,-32.89268
376,-68.85764,-32.88952
377,-68.85638,-32.89087
378,-68.85644,-32.89108
379,-68.85666,-32.89194
380,-68.85661,-32.89194
381,-68.85444,-32.89122
382,-68.85277,-32.89154
383,-68.85472,-32.8923
384,-68.85306,-32.89261
385,-68.8532,-32.89339
386,-68.85504,-32.89341
387,-68.85324,-32.89373
388,-68.8553,-32.89446
389,-68.85695,-32.89305
390,-68.84805,-32.88787
391,-68.8468,-32.8881
392,-68.84554,-32.88835
393,-68.84833,-32.88897
394,-68.84709,-32.88922
395,-68.84956,-32.88872
396,-68.84862,-32.89008
397,-68.84956,-32.88876
398,-68.84584,-32.88946
399,-68.84613,-32.89054
400,-68.84737,-32.89031
401,-68.84764,-32.89136
402,-68.84238,-32.88668
403,-68.84114,-32.88692
404,-68.84267,-32.88773
405,-68.84143,-32.88797
406,-68.8414,-32.88798
407,-68.83985,-32.88715
408,-68.84012,-32.88821
409,-68.84405,-32.88749
410,-68.84386,-32.88752
411,-68.84384,-32.88752
412,-68.84271,-32.88792
413,-68.84411,-32.88861
414,-68.84295,-32.88883
415,-68.84167,-32.88907
416,-68.84046,-32.8893
