fid,NOMBRE,heatmap_co
138,COLECTOR ALUVIONAL,
139,COLECTOR ALUVIONAL,
140,MITRE BARTOLOME GRAL AV,5.33656
141,MITRE BARTOLOME GRAL AV,5.33656
142,MITRE BARTOLOME GRAL AV,3.14457
143,MITRE BARTOLOME GRAL AV,3.14457
144,MITRE BARTOLOME GRAL AV,5.33656
145,AMEGHINO FLORENTINO,5.22465
146,AMEGHINO FLORENTINO,5.22465
147,AMEGHINO FLORENTINO,5.33656
148,AMEGHINO FLORENTINO,5.22465
149,AMEGHINO FLORENTINO,5.33656
150,AMEGHINO FLORENTINO,5.33656
151,HOUSSAY BERNARDO DR,2.41490
152,HOUSSAY BERNARDO DR,2.41490
153,HOUSSAY BERNARDO DR,3.56445
154,HOUSSAY BERNARDO DR,3.56445
155,RIO BLANCO,
156,RIO BLANCO,
157,HOUSSAY BERNARDO DR,2.41490
158,HOUSSAY BERNARDO DR,2.41490
159,HOUSSAY BERNARDO DR,1.05787
160,HOUSSAY BERNARDO DR,1.05787
161,HOUSSAY BERNARDO DR,0.33467
162,HOUSSAY BERNARDO DR,0.33467
163,HOUSSAY BERNARDO DR,1.05787
164,HOUSSAY BERNARDO DR,1.05787
165,RUBILAR FRANCISCO,8.20943
166,RUBILAR FRANCISCO,5.35382
167,RUBILAR FRANCISCO,5.35382
168,RUBILAR FRANCISCO,8.20943
169,DE SAN MARTIN JOSE GRAL AV,14.46860
170,DE SAN MARTIN JOSE GRAL AV,12.30067
171,DE SAN MARTIN JOSE GRAL AV,12.30067
172,HOUSSAY BERNARDO DR,0.43817
173,HOUSSAY BERNARDO DR,0.33467
174,HOUSSAY BERNARDO DR,0.43817
175,HOUSSAY BERNARDO DR,0.33467
176,ARROYO MELITON,8.20943
177,ARROYO MELITON,7.05923
178,ARROYO MELITON,8.20943
179,ARROYO MELITON,7.05923
180,BAHIA BLANCA,7.05923
181,BAHIA BLANCA,3.54730
182,BAHIA BLANCA,7.05923
183,BAHIA BLANCA,3.54730
184,RIO BLANCO,0.16537
185,RIO BLANCO,0.16537
186,RIO BLANCO,
187,HOUSSAY BERNARDO DR,0.43817
188,HOUSSAY BERNARDO DR,0.43817
189,HOUSSAY BERNARDO DR,0.76369
190,HOUSSAY BERNARDO DR,0.76369
191,RIO BLANCO,0.16537
192,RIO BLANCO,0.16537
193,RIO BLANCO,0.17653
194,ARROYO MELITON,5.70096
195,ARROYO MELITON,5.70096
196,ARROYO MELITON,7.05923
197,ARROYO MELITON,7.05923
198,12 DE FEBRERO,2.89953
199,12 DE FEBRERO,5.70096
200,12 DE FEBRERO,5.70096
201,12 DE FEBRERO,2.89953
202,ARROYO MELITON,5.70096
203,ARROYO MELITON,4.78617
204,ARROYO MELITON,5.70096
205,ARROYO MELITON,4.78617
206,ARROYO MELITON,4.05026
207,ARROYO MELITON,4.78617
208,ARROYO MELITON,4.78617
209,ARROYO MELITON,4.05026
210,BUFANO ALFREDO R PROFESOR,2.10371
211,BUFANO ALFREDO R PROFESOR,2.10371
212,BUFANO ALFREDO R PROFESOR,4.05026
213,BUFANO ALFREDO R PROFESOR,4.05026
214,ARROYO MELITON,4.05026
215,ARROYO MELITON,4.05026
216,ARROYO MELITON,2.70238
217,ARROYO MELITON,2.70238
218,MOYANO FRANCISCO J,1.50433
219,MOYANO FRANCISCO J,1.50433
220,MOYANO FRANCISCO J,2.70238
221,MOYANO FRANCISCO J,2.70238
222,HOUSSAY BERNARDO DR,0.76369
223,HOUSSAY BERNARDO DR,0.76369
224,HOUSSAY BERNARDO DR,0.99435
225,HOUSSAY BERNARDO DR,0.99435
226,ARROYO MELITON,2.70238
227,ARROYO MELITON,2.70238
228,ARROYO MELITON,1.94942
229,ARROYO MELITON,1.94942
230,ARROYO MELITON,1.94942
231,LEMOS ABRAHAM DR,1.30864
232,LEMOS ABRAHAM DR,1.94942
233,LEMOS ABRAHAM DR,1.30864
234,LEMOS ABRAHAM DR,1.94942
235,LEMOS ABRAHAM DR,1.94942
236,RIO BLANCO,0.17653
237,RIO BLANCO,0.52109
238,RIO BLANCO,0.53248
239,RIO BLANCO,0.53248
240,RIO BLANCO,0.52109
241,ARROYO MELITON,1.82803
242,ARROYO MELITON,1.94942
243,ARROYO MELITON,1.82803
244,ARROYO MELITON,1.94942
245,ARROYO MELITON,1.94942
246,HOUSSAY BERNARDO DR,0.81721
247,HOUSSAY BERNARDO DR,0.99435
248,HOUSSAY BERNARDO DR,0.99435
249,HOUSSAY BERNARDO DR,0.81721
250,ARROYO MELITON,1.82803
251,ARROYO MELITON,2.37618
252,ARROYO MELITON,1.82803
253,ARROYO MELITON,2.37618
254,RIO BLANCO,0.78104
255,RIO BLANCO,0.53248
256,RIO BLANCO,0.78104
257,RIO BLANCO,0.53248
258,HOUSSAY BERNARDO DR,0.57350
259,HOUSSAY BERNARDO DR,0.81721
260,HOUSSAY BERNARDO DR,0.81721
261,HOUSSAY BERNARDO DR,0.57350
262,ARROYO MELITON,3.45904
263,ARROYO MELITON,2.37618
264,ARROYO MELITON,3.45904
265,ARROYO MELITON,2.37618
266,CHACO,3.45904
267,CHACO,2.67787
268,CHACO,3.45904
269,CHACO,2.67787
270,PATRICIAS MENDOCINAS,5.55332
271,PATRICIAS MENDOCINAS,5.55332
272,PATRICIAS MENDOCINAS,2.04421
273,PATRICIAS MENDOCINAS,2.04421
274,PATRICIAS MENDOCINAS,5.55332
275,AMEGHINO FLORENTINO,5.55332
276,AMEGHINO FLORENTINO,5.33656
277,AMEGHINO FLORENTINO,5.33656
278,AMEGHINO FLORENTINO,5.55332
279,AMEGHINO FLORENTINO,5.33656
280,AMEGHINO FLORENTINO,5.55332
281,RIO BLANCO,0.93476
282,RIO BLANCO,0.93476
283,RIO BLANCO,0.78104
284,RIO BLANCO,0.78104
285,LAGUNA SECA,0.16537
286,LAGUNA SECA,0.16537
287,LAGUNA SECA,0.16659
288,LAGUNA SECA,0.16659
289,LAGUNA SECA,0.16266
290,HOUSSAY BERNARDO DR,0.57350
291,HOUSSAY BERNARDO DR,0.00200
292,HOUSSAY BERNARDO DR,0.57350
293,LAGUNA SECA,0.16454
294,LAGUNA SECA,0.16266
295,DE SAN MARTIN JOSE GRAL AV,14.98784
296,DE SAN MARTIN JOSE GRAL AV,14.98784
297,DE SAN MARTIN JOSE GRAL AV,14.46860
298,RIO BLANCO,0.69639
299,RIO BLANCO,0.93476
300,RIO BLANCO,0.93476
301,RIO BLANCO,0.48022
302,RIO BLANCO,0.47270
303,HUANACACHE,0.53248
304,HUANACACHE,0.53248
305,HUANACACHE,0.53500
306,LLANCANELO,0.78104
307,LLANCANELO,0.81317
308,LLANCANELO,0.78104
309,AMEGHINO FLORENTINO,11.55793
310,AMEGHINO FLORENTINO,11.55793
311,AMEGHINO FLORENTINO,14.98784
312,AMEGHINO FLORENTINO,11.55793
313,AMEGHINO FLORENTINO,14.98784
314,9 DE JULIO,11.55793
315,9 DE JULIO,6.73568
316,9 DE JULIO,11.55793
317,9 DE JULIO,6.73568
318,9 DE JULIO,11.55793
319,AO STA MARIA,0.93476
320,AO STA MARIA,0.93476
321,AO STA MARIA,0.96786
322,PERU,7.31365
323,PERU,8.35445
324,PERU,8.35445
325,PERU,7.31365
326,RIO BLANCO,0.47270
327,RIO BLANCO,1.23164
328,FCGSM,7.48320
329,FCGSM,9.72466
330,FCGSM,9.72466
331,FCGSM,7.48320
332,AMEGHINO FLORENTINO,9.86314
333,AMEGHINO FLORENTINO,9.72466
334,AMEGHINO FLORENTINO,9.86314
335,AMEGHINO FLORENTINO,9.72466
336,RUBILAR FRANCISCO,9.86314
337,RUBILAR FRANCISCO,9.86314
338,RUBILAR FRANCISCO,8.20943
339,RUBILAR FRANCISCO,8.20943
340,LOS PAPAGALLOS,0.69639
341,LOS PAPAGALLOS,0.72645
342,RIO BLANCO,1.23164
343,RIO BLANCO,1.89362
344,RIO BLANCO,1.90512
345,RIO BLANCO,1.90512
346,RIO BLANCO,1.89362
347,AMEGHINO FLORENTINO,9.80972
348,AMEGHINO FLORENTINO,8.35445
349,AMEGHINO FLORENTINO,8.35445
350,AMEGHINO FLORENTINO,9.80972
351,FCGSM,9.80972
352,FCGSM,9.72466
353,FCGSM,9.72466
354,FCGSM,9.80972
355,AMEGHINO FLORENTINO,5.91636
356,AMEGHINO FLORENTINO,11.55793
357,AMEGHINO FLORENTINO,5.91636
358,AMEGHINO FLORENTINO,11.55793
359,AMEGHINO FLORENTINO,5.91636
360,AMEGHINO FLORENTINO,11.55793
361,AV ESPAÃƒâ€˜A,5.91636
362,AV ESPAÃƒâ€˜A,2.60382
363,AV ESPAÃƒâ€˜A,5.91636
364,AV ESPAÃƒâ€˜A,5.91636
365,AV ESPAÃƒâ€˜A,2.60382
366,AMEGHINO FLORENTINO,5.91636
367,AMEGHINO FLORENTINO,5.91636
368,AMEGHINO FLORENTINO,5.55332
369,AMEGHINO FLORENTINO,5.91636
370,AMEGHINO FLORENTINO,5.55332
371,AMEGHINO FLORENTINO,5.55332
372,CORDON DEL PLATA SUR,0.48022
373,CORDON DEL PLATA SUR,0.56991
374,RUBILAR FRANCISCO,9.86314
375,RUBILAR FRANCISCO,10.16084
376,RUBILAR FRANCISCO,9.86314
377,RUBILAR FRANCISCO,10.16084
378,LLORENS JOSE RVDO,1.90512
379,LLORENS JOSE RVDO,2.08342
380,LLORENS JOSE RVDO,1.90512
381,TUPUNGATO,1.02496
382,TUPUNGATO,1.90512
383,TUPUNGATO,1.02496
384,TUPUNGATO,1.90512
385,TUPUNGATO,1.02496
386,TUPUNGATO,0.41972
387,TUPUNGATO,1.02496
388,TUPUNGATO,0.41972
389,ORTIZ CIRIACO CALLEJON,10.16084
390,ORTIZ CIRIACO CALLEJON,6.25234
391,ORTIZ CIRIACO CALLEJON,6.25234
392,ORTIZ CIRIACO CALLEJON,6.25234
393,ORTIZ CIRIACO CALLEJON,10.16084
394,12 DE FEBRERO,4.78617
395,12 DE FEBRERO,4.78617
396,12 DE FEBRERO,6.25234
397,12 DE FEBRERO,6.25234
398,12 DE FEBRERO,6.25234
399,TUPUNGATO,0.35400
400,TUPUNGATO,0.41972
401,TUPUNGATO,0.41972
402,TUPUNGATO,0.02487
403,TUPUNGATO,0.35400
404,ORTIZ CIRIACO CALLEJON,2.26443
405,ORTIZ CIRIACO CALLEJON,6.25234
406,ORTIZ CIRIACO CALLEJON,6.25234
407,ORTIZ CIRIACO CALLEJON,6.25234
408,ORTIZ CIRIACO CALLEJON,2.26443
409,LEMOS ABRAHAM DR,2.26443
410,LEMOS ABRAHAM DR,1.94942
411,LEMOS ABRAHAM DR,2.26443
412,LEMOS ABRAHAM DR,1.94942
413,LEMOS ABRAHAM DR,1.94942
414,EMAUS,1.04734
415,EMAUS,1.02496
416,EMAUS,1.02496
417,EL JUNCAL,0.45430
418,EL JUNCAL,0.41972
419,EL JUNCAL,0.41972
420,TUPUNGATO,0.02487
421,TUPUNGATO,
422,TUPUNGATO,
423,TUPUNGATO,
424,ALPATACAL,0.76369
425,ALPATACAL,0.69366
426,ALPATACAL,0.76369
427,ALPATACAL,0.69366
428,CORDON DEL PLATA SUR,0.76810
429,CORDON DEL PLATA SUR,0.76810
430,CORDON DEL PLATA SUR,0.56991
431,MORENO JOSE MARIA,6.39197
432,MORENO JOSE MARIA,6.39197
433,MORENO JOSE MARIA,4.90242
434,MORENO JOSE MARIA,4.90242
435,DE SAN MARTIN JOSE GRAL AV,14.98784
436,DE SAN MARTIN JOSE GRAL AV,14.98784
437,DE SAN MARTIN JOSE GRAL AV,14.87723
438,CRISTO REDENTOR SUR AV,
439,CRISTO REDENTOR SUR AV,
440,DE SAN MARTIN JOSE GRAL AV,14.87723
441,DE SAN MARTIN JOSE GRAL AV,14.84572
442,BALLOFET ING,0.69366
443,BALLOFET ING,0.94647
444,BALLOFET ING,0.94647
445,BALLOFET ING,0.69366
446,BALLOFET ING,0.94647
447,PASO DE LOS ANDES,0.94647
448,PASO DE LOS ANDES,0.99435
449,PASO DE LOS ANDES,0.99435
450,PASO DE LOS ANDES,0.94647
451,PASO DE LOS ANDES,0.94647
452,BAGLIETO ING,0.57350
453,BAGLIETO ING,0.54168
454,BAGLIETO ING,0.54168
455,BAGLIETO ING,0.57350
456,BALLOFET ING,0.94647
457,BALLOFET ING,0.94647
458,BALLOFET ING,0.94647
459,BALLOFET ING,0.75201
460,BALLOFET ING,0.75201
461,TABANERA EXEQUIEL,0.81721
462,TABANERA EXEQUIEL,0.81721
463,TABANERA EXEQUIEL,0.75201
464,TABANERA EXEQUIEL,0.75201
465,LOS PAPAGALLOS,0.83236
466,LOS PAPAGALLOS,0.72645
467,LOS PAPAGALLOS,0.83236
468,LAGUNA BLANCA,0.83236
469,LAGUNA BLANCA,0.76810
470,LAGUNA BLANCA,0.76810
