poblacion,0-14,primario,secundario,polimodal,lee_y _esc,NoLee_ni_e,x,y,ID,clasificacion,punto_tipo
778.0,170.0,163.0,257.0,51.0,705.0,37.0,-68.82580223,-32.87105339,PV5,0,Punto verde
778.0,170.0,163.0,257.0,51.0,705.0,37.0,-68.82580223,-32.87105339,PV5,0,Punto verde
778.0,170.0,163.0,257.0,51.0,705.0,37.0,-68.82580223,-32.87105339,PV5,0,Punto verde
1018.0,182.0,216.0,274.0,39.0,922.0,58.0,-68.83332,-32.86292,PV4,1,Punto verde
1018.0,182.0,216.0,274.0,39.0,922.0,58.0,-68.83332,-32.86292,PV4,1,Punto verde
1018.0,182.0,216.0,274.0,39.0,922.0,58.0,-68.83332,-32.86292,PV4,1,Punto verde
878.0,123.0,115.0,181.0,41.0,831.0,25.0,-68.85376,-32.86608,PV3,0,Punto verde
878.0,123.0,115.0,181.0,41.0,831.0,25.0,-68.85376,-32.86608,PV3,0,Punto verde
878.0,123.0,115.0,181.0,41.0,831.0,25.0,-68.85376,-32.86608,PV3,0,Punto verde
411.0,50.0,41.0,90.0,8.0,390.0,10.0,-68.84285,-32.88336,PV18,1,Punto verde
411.0,50.0,41.0,90.0,8.0,390.0,10.0,-68.84285,-32.88336,PV18,1,Punto verde
411.0,50.0,41.0,90.0,8.0,390.0,10.0,-68.84285,-32.88336,PV18,1,Punto verde
398.0,32.0,41.0,75.0,15.0,387.0,1.0,-68.84159087,-32.88809288,PV25,1,Punto verde
398.0,32.0,41.0,75.0,15.0,387.0,1.0,-68.84159087,-32.88809288,PV25,1,Punto verde
398.0,32.0,41.0,75.0,15.0,387.0,1.0,-68.84159087,-32.88809288,PV25,1,Punto verde
466.0,56.0,67.0,108.0,20.0,442.0,15.0,-68.84199,-32.886759999999995,PV27,1,Punto verde
466.0,56.0,67.0,108.0,20.0,442.0,15.0,-68.84199,-32.886759999999995,PV27,1,Punto verde
466.0,56.0,67.0,108.0,20.0,442.0,15.0,-68.84199,-32.886759999999995,PV27,1,Punto verde
395.0,30.0,50.0,91.0,21.0,376.0,9.0,-68.83908338,-32.88836007,PV28,1,Punto verde
395.0,30.0,50.0,91.0,21.0,376.0,9.0,-68.83908338,-32.88836007,PV28,1,Punto verde
395.0,30.0,50.0,91.0,21.0,376.0,9.0,-68.83908338,-32.88836007,PV28,1,Punto verde
398.0,32.0,41.0,75.0,15.0,387.0,1.0,-68.84323,-32.88985,PV29,1,Punto verde
398.0,32.0,41.0,75.0,15.0,387.0,1.0,-68.84323,-32.88985,PV29,1,Punto verde
398.0,32.0,41.0,75.0,15.0,387.0,1.0,-68.84323,-32.88985,PV29,1,Punto verde
315.0,20.0,29.0,75.0,5.0,310.0,2.0,-68.84705,-32.88941,PV24,1,Punto verde
315.0,20.0,29.0,75.0,5.0,310.0,2.0,-68.84705,-32.88941,PV24,1,Punto verde
315.0,20.0,29.0,75.0,5.0,310.0,2.0,-68.84705,-32.88941,PV24,1,Punto verde
