fid,PuntoTipo,PuntoNumer,ID,PuntoNombr,Direccion,link,totalpobl,hogares,Desocupado,0 - 14,65 y más,Inicial (j,Primario,EGB,Secundario,Polimodal,Superior n,Universita,Post unive,lee_y _esc,NoLee_ni_e,Hacinamien,sin red ag,Sin cloaca,toponimo_i,dens pob,macroz_2,Clasifica,Area_Has,Seccion,Nombre,Calidad_residuo,Y_WGS,X_WGS
63,Punto Verde,34,PV34,Plaza Belgrano (B°Bombal),Cap. Moyano 475,500070809,528,188,11,87,102,16,40,24,82,18,47,250,23,487,16,0,0,0,326390,"46,598",Residencial urbano,Urbano,41,2,Barrio Civico,"1,70","-32,90131","-68,8489"
65,Punto Verde,35,PV35,Palero y Semorille,Palero y Semorille,500070810,631,264,14,96,119,13,69,25,115,27,54,278,22,596,14,0,0,2,326391,"64,991",Comercial,Altamente urbano,411,2,Barrio Civico,"1,72","-32,90114","-68,85285"
66,Punto Verde,36,PV36,Plazoleta La Paz,Mariano Moreno 300-202,500070910,656,263,20,86,111,15,66,19,112,26,74,305,16,620,19,0,0,0,326402,"53,1",Residencial urbano,Urbano,114,5,Residencial Sur,"1,76","-32,90226","-68,85418"
18,Punto Verde,37,PV37,Plaza B° Santa Rita,,500071014,1057,259,56,300,71,51,430,65,254,55,34,45,3,904,90,14,0,2,326418,"86,166",Residencial urbano,Urbano,490,7,Residencial Parque,0,"-32,87286","-68,86756"
87,Punto Verde,39,PV39,Virgen del Carmen,Virgen del Carmen,500070801,562,164,17,106,53,21,66,19,97,22,68,223,14,510,25,0,0,2,326383,"13,145",Central,Altamente urbano,225,2,Barrio Civico,"1,65","-32,89815492","-68,84474207"
7,Punto Verde,4,PV4,C.I.C 1,9 de julio 3565,500070702,1018,346,46,182,195,40,216,27,274,39,137,208,14,922,58,2,0,2,326373,"76,645",Residencial urbano,Urbano,112,4,Cuarta Oeste,"1,63","-32,86292","-68,83332"
9,Punto Verde,5,PV5,Plaza Mathus Hoyos,"Santiago del Estero, M5500",500070205,778,239,31,170,82,26,163,55,257,51,57,109,2,705,37,4,0,2,326288,"87,761",Residencial urbano,Urbano,131,4,Cuarta Este Area Fundacional,"1,50","-32,87105339","-68,82580223"
11,Punto Verde,6,PV6,Plaza Malarros De Torres,Los Nogales 749-799,500071010,1376,332,67,429,105,73,613,68,359,48,22,30,0,1157,116,20,0,8,326414,"126,914",Residencial urbano,Urbano,490,8,Aeroparque,"1,94","-32,86903","-68,86789"
13,Punto Verde,7,PV7,Plaza Malvinas Argentinas,Rodríguez Cnel. 2701-2799,500071108,985,375,38,161,145,28,166,47,198,47,120,312,15,915,35,1,0,3,326436,"70,478",Residencial urbano,Urbano,490,6,Residencial Norte,"1,75","-32,87072","-68,84756"
15,Punto Verde,8,PV8,Plaza Irigoyen,Patricias Mendocinas 2920-2902,500070709,452,169,24,49,92,8,55,19,102,18,56,174,12,439,8,0,0,0,326380,"129,106",Residencial urbano,Urbano,112,4,Cuarta Oeste,"1,71","-32,86913","-68,83767"
17,Punto Verde,9,PV9,Gimnasio N° 3,Ayacucho 349,500070211,963,321,19,204,155,26,204,44,278,28,95,207,9,868,41,2,0,0,326311,"58,068",Residencial urbano,Urbano,131,4,Cuarta Este Area Fundacional,"1,33","-32,87426","-68,82783"
2,Rulero,1,R1,Parque Aborigen,Mosconi 150,500490412,845,253,36,186,122,27,190,56,279,42,57,118,8,753,42,2,0,3,,,Residencial urbano,Urbano,112,4,Cuarta Oeste,"1,64","-32,8623","-68,83421"
22,Rulero,11,R11,Plaza Cobo,Santiago del Estero 331,500070207,785,233,23,115,110,16,154,52,214,30,80,179,13,724,29,2,0,0,326297,"61,782",Residencial urbano,Urbano,131,4,Cuarta Este Area Fundacional,"1,93","-32,87086","-68,83159"
24,Rulero,12,R12,Parque Central(Lateral calle Chile),"Calle Chile, Parque Central",500070104,519,245,9,65,132,11,73,12,119,9,59,198,12,484,14,0,0,0,326312,"39,914",Comercial,Altamente urbano,411,1,Parque Central,"1,83","-32,87435","-68,84197"
26,Rulero,13,R13,Parque Central(el parral),"Calle El Parral, Parque Central",500070104,519,245,9,65,132,11,73,12,119,9,59,198,12,484,14,0,0,0,326312,"39,914",Comercial,Altamente urbano,411,1,Parque Central,"1,75","-32,87395","-68,84311"
28,Rulero,14,R14,Parque Central(Vendimiadores),"Calle Vendimiadores, Parque Central",500070104,519,245,9,65,132,11,73,12,119,9,59,198,12,484,14,0,0,0,326312,"39,914",Comercial,Altamente urbano,411,1,Parque Central,"1,75","-32,87742","-68,84217"
31,Rulero,16,R16,Colegio Norbridge,Barcala 471,500070109,634,202,18,87,97,16,102,26,184,22,54,194,9,593,24,0,0,0,326317,"37,404",Comercial,Altamente urbano,411,1,Parque Central,"1,69","-32,88166","-68,8432"
33,Rulero,17,R17,Alameda,San Martín 2170,500070214,750,270,14,132,86,19,150,43,181,27,84,197,7,696,25,1,0,1,326330,"54,007",Comercial,Altamente urbano,411,4,Cuarta Este Area Fundacional,"1,67","-32,87894","-68,83529"
35,Rulero,18,R18,Irrigacion,Barcala y España,500070108,668,239,17,82,113,9,76,22,210,17,80,210,10,627,17,0,0,0,326316,"53,147",Comercial,Altamente urbano,411,1,Parque Central,"1,72","-32,88202","-68,83989"
38,Rulero,19,R19,Chirolas Bar,"J, B. Justo 362",500070504,352,163,10,49,52,11,26,16,64,10,38,158,9,324,11,0,0,0,326351,"100,142",Comercial,Altamente urbano,411,5,Residencial Sur,"1,76","-32,88391","-68,85365"
37,Rulero,19,R19,Colegio ICEI,Gral Paz 531,500070115,411,192,11,50,100,13,41,11,90,8,57,160,17,390,10,2,0,0,326322,"87,671",Central,Altamente urbano,225,1,Parque Central,"1,67","-32,88393","-68,84482"
4,Rulero,2,R2,RAMA- Potrerillos y Tolosa,Potrerillos y Tolosa,500071008,1174,293,99,342,103,38,514,80,271,70,25,43,0,1008,81,19,0,7,326412,"108,865",Residencial urbano,Urbano,490,8,Aeroparque,"1,94","-32,86561","-68,86139"
40,Rulero,20,R20,Plazoleta Godoy,Avellaneda y Martinez de Rosas,500070506,770,299,10,88,154,12,73,24,140,19,62,380,38,740,14,0,0,2,326353,"56,481",Residencial urbano,Urbano,90,5,Residencial Sur,"1,93","-32,88548","-68,85506"
43,Rulero,22,R21,Escuela Adventitsa,"Tiburcio Benegas 1283,",500070512,319,123,6,47,68,9,26,13,53,8,29,154,11,295,13,0,0,0,326360,"47,141",Residencial urbano,Urbano,90,5,Residencial Sur,"1,50","-32,88643","-68,85072"
44,Rulero,22,R22,Plazoleta Ponce,T. Benegas y L. Aguirre,500071310,5,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,326461,"0,019",Especial Parque Gral. San Marti?n,Especial,609,9,Parque Gral. San Martin,"1,93","-32,88526","-68,86721"
45,Rulero,23,R23,Acuario Municipal,Ituzaingó 1425,500070305,266,126,12,31,42,9,29,3,66,5,38,98,5,247,9,0,0,0,326337,"29,071",Comercial,Altamente urbano,411,3,Parque O'Higgins,"1,72","-32,88739","-68,82992"
47,Rulero,24,R24,Gutierrez,Gutierrez 338,500070402,398,196,13,32,116,4,41,11,75,15,48,175,17,387,1,0,1,0,326239,"37,544",Central,Altamente urbano,225,2,Barrio Civico,"1,65","-32,88776","-68,84365"
49,Rulero,25,R25,Colegio San Andres,J. V. Gonzalez 630,500070611,358,138,7,50,57,13,42,17,78,10,39,135,8,331,18,0,0,0,326371,"66,358",Residencial urbano,Urbano,20,6,Residencial Norte,"1,69","-32,88162","-68,85736"
50,Rulero,26,R26,Calendula,Granaderos y Zapata,500070402,398,196,13,32,116,4,41,11,75,15,48,175,17,387,1,0,1,0,326239,"37,544",Central,Altamente urbano,225,2,Barrio Civico,"1,93","-32,88776","-68,84365"
52,Rulero,27,R27,Plazoleta de Los Poetas,Olascoaga y Zapata,500070511,548,238,7,59,99,15,48,9,95,19,50,275,19,518,15,0,0,1,326359,"40,575",Residencial urbano,Urbano,90,5,Residencial Sur,"1,75","-32,8902437","-68,85432414"
54,Rulero,28,R28,Escuela Sarmiento,Julio A. Roca 343,500070511,548,238,7,59,99,15,48,9,95,19,50,275,19,518,15,0,0,1,326359,"40,575",Residencial urbano,Urbano,90,5,Residencial Sur,"1,79","-32,89026014","-68,85433393"
6,Rulero,3,R3,Parque Lineal(Hudson),Peru y Hudson,500070706,784,305,27,106,122,18,116,26,194,29,109,236,18,735,23,1,5,0,326377,"47,352",Residencial urbano,Urbano,112,4,Cuarta Oeste,"1,83","-32,86588","-68,84179"
56,Rulero,30,R30,Escuela Quimicos,Rodriguez y Lamadrid,500070905,697,295,31,92,109,20,41,30,111,14,55,367,29,651,24,1,1,1,326397,"80,981",Residencial urbano,Urbano,114,5,Residencial Sur,"1,83","-32,89845","-68,85396"
58,Rulero,31,R31,Pedro Molina y Peru,Pedro Molina y Peru,500070801,562,164,17,106,53,21,66,19,97,22,68,223,14,510,25,0,0,2,326383,"13,145",Central,Altamente urbano,225,2,Barrio Civico,"1,64","-32,89607131","-68,8501888"
60,Rulero,32,R32,Pedro Molina y Mitre,Pedro Molina y Mitre,500070801,562,164,17,106,53,21,66,19,97,22,68,223,14,510,25,0,0,2,326383,"13,145",Central,Altamente urbano,225,2,Barrio Civico,"1,59","-32,89632","-68,84584"
62,Rulero,33,R33,Pedro Molina y San Martin,Pedro Molina y San Martin,500070801,562,164,17,106,53,21,66,19,97,22,68,223,14,510,25,0,0,2,326383,"13,145",Comercial,Altamente urbano,411,2,Barrio Civico,"1,61","-32,89655","-68,84129"
64,Rulero,35,R35,Escuela Mitre,San Juan 417,500490412,845,253,36,186,122,27,190,56,279,42,57,118,8,753,42,2,0,3,,,Residencial urbano,Urbano,112,4,Cuarta Oeste,"1,72","-32,8623","-68,83421"
67,Rulero,36,R36,Plaza Caseros,Av. España 16,500070808,401,147,2,54,84,10,44,13,81,11,21,194,18,383,13,0,0,0,326389,"47,647",Residencial urbano,Urbano,41,2,Barrio Civico,"1,81","-32,90273","-68,84567"
68,Rulero,37,R37,Escuela Quintana,San Lorenzo 784,500071201,340,152,4,25,71,7,31,4,74,13,23,160,17,322,8,1,0,0,326442,"44,938",Comercial,Altamente urbano,411,2,Barrio Civico,"1,50","-32,89217","-68,85032"
69,Rulero,38,R38,Plaza la Paz,Plazoleta La Paz,500070910,656,263,20,86,111,15,66,19,112,26,74,305,16,620,19,0,0,0,326402,"53,1",Residencial urbano,Urbano,114,5,Residencial Sur,"1,72","-32,90217","-68,85428"
71,Rulero,39,R39,Palero,Martín Palero 70,500070506,770,299,10,88,154,12,73,24,140,19,62,380,38,740,14,0,0,2,326353,"56,481",Residencial urbano,Urbano,90,5,Residencial Sur,"1,69","-32,88548","-68,85506"
8,Rulero,4,R4,Plaza Mathus Hoyos,Santiago del Estero,500070204,876,287,39,157,125,23,229,59,261,57,55,130,8,810,35,3,0,1,326287,"73,713",Residencial urbano,Urbano,131,4,Cuarta Este Area Fundacional,"1,50","-32,87064","-68,8212"
72,Rulero,40,R40,Plaza Belgrano,La Pampa 300-172,500070809,528,188,11,87,102,16,40,24,82,18,47,250,23,487,16,0,0,0,326390,"46,598",Residencial urbano,Urbano,41,2,Barrio Civico,"1,56","-32,90143","-68,84837"
73,Rulero,41,R41,P. B. Palacios y Alem,P. B. Palacios y Alem,500070311,699,176,14,60,103,10,194,21,152,12,54,211,15,656,30,0,0,0,326342,"46,368",Comercial,Altamente urbano,411,3,Parque O'Higgins,"1,72","-32,89305","-68,83231"
75,Rulero,42,R42,Parque O Higgins,Itusaingo,500070303,743,302,23,121,96,21,115,47,203,26,94,187,16,691,32,2,0,1,326334,"32,555",Comercial,Altamente urbano,411,3,Parque O'Higgins,"1,72","-32,88441","-68,82913"
74,Rulero,43,R43,Gimnasio N° 1,,500070902,564,190,12,48,113,5,56,16,101,22,71,261,18,538,13,0,0,0,326394,"53,042",Residencial urbano,Urbano,114,5,Residencial Sur,"1,69","-32,89678611","-68,85914577"
10,Rulero,5,R5,Av. Champagnat,Lomas Av Champagnat,500071019,1190,351,23,208,113,43,76,103,141,61,93,576,66,1120,44,0,66,3,326425,"29,117",Residencial suburbano,Interfaz,278,10,Residencial Los Cerros,"2,00","-32,87228","-68,88335"
12,Rulero,6,R6,Santa Rita,Barrio Santa Rita,500071014,1057,259,56,300,71,51,430,65,254,55,34,45,3,904,90,14,0,2,326418,"86,166",Residencial urbano,Urbano,490,7,Residencial Parque,0,"-32,87273","-68,86721"
14,Rulero,7,R7,Plaza Coperativa Bº San Martín,Cooperativa,500071009,1259,325,107,361,98,53,517,78,335,72,37,52,1,1101,83,11,2,11,326413,"117,411",Residencial urbano,Urbano,490,8,Aeroparque,"1,94","-32,8678","-68,86221"
16,Rulero,8,R8,Parque Lineal(V.Correa),Peru y Videla Correa,500070706,784,305,27,106,122,18,116,26,194,29,109,236,18,735,23,1,5,0,326377,"47,352",Residencial urbano,Urbano,112,4,Cuarta Oeste,"1,92","-32,86588","-68,84179"
19,Rulero,9,R9,Plaza Yrigoyen,Patricias Mendocinas 2801-2899,500070709,452,169,24,49,92,8,55,19,102,18,56,174,12,439,8,0,0,0,326380,"129,106",Residencial urbano,Urbano,112,4,Cuarta Oeste,"1,86","-32,8689","-68,83785"
