Marca temporal,Tipo de punto,Número de punto verde,Clasificación residuos,Cantidad residuo [Papel],"Cantidad residuo [Vidrio, Metal, Tetra]",Cantidad residuo [Plástico],Número de rulero,Clasificación residuos,Cantidad residuo [PET],¿Se realiza recolección en el momento?
20/03/2020 14:53:06,Punto Verde,28,Buena,Medio,Medio,Medio,,,,Sí
20/03/2020 14:52:42,Punto Verde,25,Buena,Medio,Medio,Medio,,,,Sí
20/03/2020 14:51:46,Punto Verde,18,Buena,Medio,Bajo,Medio,,,,Sí
20/03/2020 14:37:22,Punto Verde,8,Regular,Medio,Medio,Medio,,,,Sí
20/03/2020 10:20:48,Punto Verde,4,Buena,Medio,Medio,Medio,,,,Sí
20/03/2020 10:10:58,Punto Verde,3,Buena,Medio,Medio,Medio,,,,Sí
20/03/2020 10:10:20,Punto Verde,7,Buena,Medio,Bajo,Medio,,,,Sí
20/03/2020 10:09:51,Punto Verde,11,Buena,Medio,Medio,Medio,,,,Sí
20/03/2020 10:09:09,Punto Verde,1,Buena,Alto,Alto,Alto,,,,Sí
17/03/2020 18:02:59,Punto Verde,1,Buena,Alto,Alto,Alto,,,,Sí
17/03/2020 18:01:05,Punto Verde,3,Buena,Medio,Medio,Medio,,,,Sí
17/03/2020 18:00:20,Punto Verde,7,Buena,Alto,Medio,Alto,,,,Sí
17/03/2020 17:58:53,Punto Verde,11,Buena,Alto,Alto,Alto,,,,Sí
17/03/2020 17:54:31,Punto Verde,23,Buena,Alto,Alto,Alto,,,,Sí
17/03/2020 17:33:53,Punto Verde,20,Buena,Medio,Bajo,Medio,,,,Sí
17/03/2020 17:33:16,Punto Verde,21,Buena,Medio,Medio,Medio,,,,Sí
17/03/2020 17:29:30,Punto Verde,31,Regular,Medio,Bajo,Medio,,,,Sí
17/03/2020 17:27:51,Punto Verde,36,Buena,Medio,Medio,Alto,,,,Sí
17/03/2020 17:26:42,Punto Verde,35,Buena,Medio,Medio,Medio,,,,Sí
17/03/2020 17:25:59,Punto Verde,34,Buena,Alto,Medio,Alto,,,,Sí
17/03/2020 10:41:10,Punto Verde,4,Buena,Medio,Nulo,Bajo,,,,Sí
17/03/2020 10:39:13,Punto Verde,8,Buena,Alto,Medio,Alto,,,,Sí
17/03/2020 10:36:30,Punto Verde,14,Buena,Medio,Bajo,Medio,,,,Sí
17/03/2020 10:33:28,Punto Verde,9,Buena,Medio,Bajo,Medio,,,,Sí
17/03/2020 10:31:30,Punto Verde,4,Buena,Medio,Medio,Alto,,,,Sí
17/03/2020 10:28:02,Punto Verde,33,Buena,Medio,Medio,Medio,,,,Sí
17/03/2020 10:26:53,Punto Verde,32,Buena,Medio,Medio,Medio,,,,Sí
17/03/2020 10:22:54,Punto Verde,29,Buena,Medio,Medio,Medio,,,,Sí
17/03/2020 10:22:31,Punto Verde,24,Buena,Medio,Bajo,Medio,,,,Sí
17/03/2020 10:21:55,Punto Verde,25,Buena,Medio,Bajo,Medio,,,,Sí
17/03/2020 10:21:04,Punto Verde,28,Buena,Medio,Bajo,Medio,,,,Sí
17/03/2020 10:20:10,Punto Verde,27,Buena,Medio,Medio,Medio,,,,Sí
17/03/2020 10:17:23,Punto Verde,19,Buena,Medio,Medio,Medio,,,,Sí
17/03/2020 10:15:10,Punto Verde,18,Buena,Medio,Bajo,Alto,,,,Sí
17/03/2020 10:12:22,Punto Verde,8,Buena,Medio,Bajo,Alto,,,,Sí
13/03/2020 9:20:05,Punto Verde,2,Buena,Medio,Medio,Medio,,,,Sí
13/03/2020 9:19:40,Punto Verde,3,Buena,Medio,Bajo,Medio,,,,Sí
13/03/2020 9:17:39,Punto Verde,4,Regular,Alto,Bajo,Medio,,,,Sí
13/03/2020 8:00:45,Punto Verde,5,Buena,Medio,Bajo,Alto,,,,Sí
24/06/2020 11:00:39,Punto Verde,1,Regular,Bajo,Medio,Medio,,,,Sí
24/06/2020 11:01:37,Rulero,,,,,,19,Buena,Bajo,Sí
24/06/2020 11:01:54,Punto Verde,18,Regular,Bajo,Medio,Medio,,,,Sí
24/06/2020 11:02:35,Rulero,,,,,,16,Regular,Medio,Sí
24/06/2020 11:03:26,Rulero,,,,,,18,Regular,Medio,Sí
24/06/2020 11:03:46,Rulero,,,,,,24,Regular,Bajo,Sí
24/06/2020 11:04:18,Punto Verde,25,Regular,Bajo,Medio,Medio,,,,Sí
24/06/2020 11:04:44,Punto Verde,28,Regular,Bajo,Medio,Medio,,,,Sí
24/06/2020 11:05:24,Punto Verde,29,Regular,Bajo,Medio,Medio,,,,Sí
24/06/2020 11:05:50,Punto Verde,24,Regular,Bajo,Medio,Medio,,,,Sí
24/06/2020 11:06:19,Rulero,,,,,,37,Regular,Bajo,Sí
24/06/2020 11:13:48,Punto Verde,32,Regular,Bajo,Medio,Medio,,,,Sí
24/06/2020 11:14:07,Rulero,,,,,,34,Regular,Medio,Sí
24/06/2020 13:36:46,Rulero,,,,,,36,Regular,Medio,Sí
24/06/2020 13:37:22,Rulero,,,,,,40,Regular,Bajo,Sí
24/06/2020 13:37:52,Punto Verde,34,Regular,Bajo,Medio,Medio,,,,Sí
24/06/2020 13:38:59,Punto Verde,35,Regular,Bajo,Medio,Medio,,,,Sí
24/06/2020 13:39:49,Punto Verde,36,Regular,Bajo,Medio,Medio,,,,Sí
24/06/2020 13:40:52,Rulero,,,,,,38,Regular,Bajo,Sí
24/06/2020 13:41:19,Rulero,,,,,,30,Regular,Medio,Sí
24/06/2020 13:41:48,Rulero,,,,,,29,Regular,Medio,Sí
24/06/2020 13:43:25,Punto Verde,20,Regular,Bajo,Medio,Medio,,,,Sí
24/06/2020 13:43:49,Punto Verde,21,Regular,Bajo,Medio,Medio,,,,Sí
24/06/2020 13:45:32,Rulero,,,,,,28,Regular,Medio,Sí
24/06/2020 13:46:17,Rulero,,,,,,26,Regular,Medio,Sí
24/06/2020 13:47:04,Rulero,,,,,,28,Regular,Medio,Sí
24/06/2020 13:47:22,Rulero,,,,,,22,Regular,Medio,Sí
24/06/2020 13:47:47,Rulero,,,,,,20,Regular,Medio,Sí
24/06/2020 13:48:10,Punto Verde,23,Regular,Bajo,Medio,Medio,,,,Sí
24/06/2020 13:49:05,Rulero,,,,,,19,Regular,Medio,Sí
24/06/2020 13:49:33,Rulero,,,,,,15,Regular,Medio,Sí
24/06/2020 13:49:52,Rulero,,,,,,25,Regular,Medio,Sí
24/06/2020 13:50:16,Punto Verde,11,Regular,Bajo,Medio,Medio,,,,Sí
24/06/2020 13:50:39,Punto Verde,7,Buena,Bajo,Medio,Medio,,,,Sí
24/06/2020 13:51:05,Punto Verde,3,Regular,Bajo,Medio,Medio,,,,Sí
