punto_nombre,punto_numero,punto_tipo,link,poblacion_total,hogares,desocupados,0-14,65_mas,inicial,primario,egb,secundario,polimodal,superior,universitario,post_universitario,lee_y _esc,NoLee_ni_e,hacinamiento,sin_red_agua,sin_cloaca,densidad_comercios,x,y
BAJADA DE ARROLLABES,2283,Interseccion,500491013,730,231,21,137,126,23,153,31,236,19,69,151,2,669,34,2,0,3,9,-68.82036974,-32.87321776
MOYANO FRANCISCO J,2285,Interseccion,500071113,500,179,13,70,117,11,92,18,137,16,67,120,14,473,13,2,0,0,5,-68.84738676,-32.8735512
MOYANO FRANCISCO J,2286,Interseccion,500071113,500,179,13,70,117,11,92,18,137,16,67,120,14,473,13,2,0,0,3,-68.8471957,-32.87281158
MAURE AVELINO,2291,Interseccion,500071113,500,179,13,70,117,11,92,18,137,16,67,120,14,473,13,2,0,0,11,-68.84864802,-32.87331829
MAURE AVELINO,2294,Interseccion,500071113,500,179,13,70,117,11,92,18,137,16,67,120,14,473,13,2,0,0,5,-68.84737606,-32.8735602
NEUQUEN,2303,Interseccion,500070601,612,212,24,105,93,16,68,36,120,19,62,244,24,578,15,0,0,3,3,-68.85761348,-32.87297716
NEUQUEN,2305,Interseccion,500070601,612,212,24,105,93,16,68,36,120,19,62,244,24,578,15,0,0,3,3,-68.85774071,-32.87359947
LAPRIDA FRANCISCO NARCISO,2311,Interseccion,500070601,612,212,24,105,93,16,68,36,120,19,62,244,24,578,15,0,0,3,3,-68.85759109,-32.87361733
BAJADA DE ARROLLABES,2315,Interseccion,500491013,730,231,21,137,126,23,153,31,236,19,69,151,2,669,34,2,0,3,7,-68.82060943,-32.87357878
CALLE NÂº2 (BÂºFLORES SUR),2319,Interseccion,500071014,1057,259,56,300,71,51,430,65,254,55,34,45,3,904,90,14,0,2,0,-68.87034925,-32.87365826
CALLE NÂº2 (BÂºFLORES SUR),2321,Interseccion,500071014,1057,259,56,300,71,51,430,65,254,55,34,45,3,904,90,14,0,2,0,-68.86905693,-32.87325115
BENEGAS TIBURCIO,2323,Interseccion,500070101,947,344,34,140,163,26,124,58,234,44,104,295,15,884,30,2,0,1,6,-68.84558077,-32.87365718
BENEGAS TIBURCIO,2325,Interseccion,500070101,947,344,34,140,163,26,124,58,234,44,104,295,15,884,30,2,0,1,11,-68.84417151,-32.87297015
FCGSM,2329,Interseccion,500070101,947,344,34,140,163,26,124,58,234,44,104,295,15,884,30,2,0,1,6,-68.84543335,-32.87240365
DE SAN MARTIN JOSE GRAL AV,2333,Interseccion,500070209,806,304,30,143,116,22,147,45,230,31,88,183,10,739,29,4,0,0,27,-68.83494891,-32.87366164
DE SAN MARTIN JOSE GRAL AV,2334,Interseccion,500070208,585,209,17,90,88,12,91,36,148,25,84,159,6,556,11,2,0,0,34,-68.83466236,-32.87260628
GUTEMBERG JUAN G,2340,Interseccion,500070711,924,354,20,136,201,34,120,46,224,36,105,302,17,864,31,0,0,3,23,-68.83623158,-32.87341987
SILVA CAYETANO,2344,Interseccion,500071111,575,186,26,88,99,16,68,30,138,24,65,191,11,529,20,0,0,1,9,-68.85079641,-32.87292413
SILVA CAYETANO,2346,Interseccion,500070604,620,215,17,101,103,16,79,42,156,29,62,189,15,577,22,1,0,0,13,-68.85099815,-32.8736908
HUARPES,2355,Interseccion,500070602,581,225,27,88,114,17,52,34,135,14,71,221,13,547,15,0,0,2,5,-68.8570246,-32.87372489
HUARPES,2356,Interseccion,500070602,581,225,27,88,114,17,52,34,135,14,71,221,13,547,15,0,0,2,6,-68.85683402,-32.87263362
MITRE BARTOLOME GRAL AV,2366,Interseccion,500070710,831,297,49,138,160,34,134,34,217,30,78,258,16,775,36,4,0,1,26,-68.83988543,-32.87370412
EL PARRAL,2370,Interseccion,500070101,947,344,34,140,163,26,124,58,234,44,104,295,15,884,30,2,0,1,10,-68.84378632,-32.87326723
EL PARRAL,2371,Interseccion,500070104,519,245,9,65,132,11,73,12,119,9,59,198,12,484,14,0,0,0,8,-68.8434329,-32.87372665
MITRE BARTOLOME GRAL AV,2373,Interseccion,500070104,519,245,9,65,132,11,73,12,119,9,59,198,12,484,14,0,0,0,24,-68.84032403,-32.87342516
MITRE BARTOLOME GRAL AV,2375,Interseccion,500070104,519,245,9,65,132,11,73,12,119,9,59,198,12,484,14,0,0,0,23,-68.840262,-32.87374969
DE VILLAGRA FRANCISCO,2378,Interseccion,500070211,963,321,19,204,155,26,204,44,278,28,95,207,9,868,41,2,0,0,10,-68.82219054,-32.87373432
MITRE BARTOLOME GRAL AV,2384,Interseccion,500070104,519,245,9,65,132,11,73,12,119,9,59,198,12,484,14,0,0,0,24,-68.8401738,-32.87377663
BAJADA DE ARROLLABES,2386,Interseccion,500491013,730,231,21,137,126,23,153,31,236,19,69,151,2,669,34,2,0,3,5,-68.82055566,-32.87375002
LAPRIDA FRANCISCO NARCISO,2391,Interseccion,500070602,581,225,27,88,114,17,52,34,135,14,71,221,13,547,15,0,0,2,7,-68.85655431,-32.8738055
MITRE BARTOLOME GRAL AV,2394,Interseccion,500070104,519,245,9,65,132,11,73,12,119,9,59,198,12,484,14,0,0,0,24,-68.84010967,-32.87378556
SALTA,2400,Interseccion,500070208,585,209,17,90,88,12,91,36,148,25,84,159,6,556,11,2,0,0,29,-68.8334334,-32.87269482
SALTA,2401,Interseccion,500070209,806,304,30,143,116,22,147,45,230,31,88,183,10,739,29,4,0,0,26,-68.83348481,-32.87377692
BELGRANO JUAN MANUEL GRAL,2412,Interseccion,500071113,500,179,13,70,117,11,92,18,137,16,67,120,14,473,13,2,0,0,4,-68.84605067,-32.87380203
BELGRANO JUAN MANUEL GRAL,2413,Interseccion,500071113,500,179,13,70,117,11,92,18,137,16,67,120,14,473,13,2,0,0,5,-68.84584895,-32.87305338
CALLE NÂº2 (BÂºFLORES SUR),2420,Interseccion,500071014,1057,259,56,300,71,51,430,65,254,55,34,45,3,904,90,14,0,2,0,-68.87093667,-32.87384822
CRISTO REDENTOR SUR AV,2426,Interseccion,500071021,1026,249,38,324,66,53,512,61,192,45,19,20,0,859,93,18,0,7,0,-68.87102291,-32.87332533
BENEGAS TIBURCIO,2429,Interseccion,500071113,500,179,13,70,117,11,92,18,137,16,67,120,14,473,13,2,0,0,5,-68.84592241,-32.87381991
TABANERA EXEQUIEL,2437,Interseccion,500070602,581,225,27,88,114,17,52,34,135,14,71,221,13,547,15,0,0,2,8,-68.85629868,-32.87330026
TABANERA EXEQUIEL,2438,Interseccion,500070602,581,225,27,88,114,17,52,34,135,14,71,221,13,547,15,0,0,2,7,-68.85638329,-32.87384137
OLASCOAGA LAURENTINO CNEL,2445,Interseccion,500070606,1255,422,37,280,178,41,295,63,263,37,104,315,34,1121,67,10,0,33,19,-68.8501003,-32.87386105
OLASCOAGA LAURENTINO CNEL,2446,Interseccion,500071111,575,186,26,88,99,16,68,30,138,24,65,191,11,529,20,0,0,1,13,-68.84989857,-32.87309437
SALTA,2456,Interseccion,500070804,277,108,5,33,58,7,27,13,67,12,18,116,12,267,6,0,0,0,45,-68.8350337,-32.89710566
SALTA,2459,Interseccion,500070804,277,108,5,33,58,7,27,13,67,12,18,116,12,267,6,0,0,0,27,-68.83524582,-32.89798959
REP DE SIRIA,2461,Interseccion,500070804,277,108,5,33,58,7,27,13,67,12,18,116,12,267,6,0,0,0,33,-68.8361546,-32.8978375
JOFRE EMILIO DR,2465,Interseccion,500070908,681,221,14,64,195,17,112,14,109,14,61,283,26,615,47,0,1,3,3,-68.86256663,-32.89685041
JOFRE EMILIO DR,2466,Interseccion,500070909,264,82,2,39,46,11,19,6,66,14,22,108,8,243,13,0,0,0,5,-68.86281063,-32.89803189
DE LAMADRID GREGORIO A GRAL,2469,Interseccion,500070909,264,82,2,39,46,11,19,6,66,14,22,108,8,243,13,0,0,0,4,-68.86347331,-32.89802359
JOFRE EMILIO DR,2472,Interseccion,500070908,681,221,14,64,195,17,112,14,109,14,61,283,26,615,47,0,1,3,4,-68.86200015,-32.8968588
JOFRE EMILIO DR,2474,Interseccion,500070907,647,256,14,70,127,11,70,19,117,12,66,302,30,616,18,0,0,1,6,-68.86218002,-32.89804021
MITRE BARTOLOME GRAL AV,2483,Interseccion,500070801,562,164,17,106,53,21,66,19,97,22,68,223,14,510,25,0,0,2,1,-68.8482426,-32.89803309
MITRE BARTOLOME GRAL AV,2485,Interseccion,500070801,562,164,17,106,53,21,66,19,97,22,68,223,14,510,25,0,0,2,3,-68.84801873,-32.89769017
VIRGEN DEL CARMEN DE CUYO,2489,Interseccion,500070801,562,164,17,106,53,21,66,19,97,22,68,223,14,510,25,0,0,2,7,-68.84986737,-32.89793586
HUARPES,2491,Interseccion,500070908,681,221,14,64,195,17,112,14,109,14,61,283,26,615,47,0,1,3,11,-68.86084581,-32.89687555
HUARPES,2493,Interseccion,500070907,647,256,14,70,127,11,70,19,117,12,66,302,30,616,18,0,0,1,15,-68.86098291,-32.89805692
MITRE BARTOLOME GRAL AV,2503,Interseccion,500070801,562,164,17,106,53,21,66,19,97,22,68,223,14,510,25,0,0,2,1,-68.8475371,-32.89807731
PASO DE LOS ANDES,2507,Interseccion,500070906,672,269,15,103,110,21,68,29,110,33,76,292,17,627,22,1,0,0,26,-68.85948649,-32.89810033
PASO DE LOS ANDES,2509,Interseccion,500070902,564,190,12,48,113,5,56,16,101,22,71,261,18,538,13,0,0,0,19,-68.85937083,-32.89689194
ACCESO AUTODROMO P4 AV,2519,Interseccion,500071309,1365,333,52,507,29,73,552,116,278,74,40,23,1,1101,149,27,72,131,0,-68.89405213,-32.89816145
ACCESO AUTODROMO P4 AV,2520,Interseccion,500071309,1365,333,52,507,29,73,552,116,278,74,40,23,1,1101,149,27,72,131,0,-68.89642564,-32.89754127
ACCESO AUTODROMO P4 AV,2522,Interseccion,500071309,1365,333,52,507,29,73,552,116,278,74,40,23,1,1101,149,27,72,131,0,-68.89404143,-32.89817045
GRANADEROS,2524,Interseccion,500070906,672,269,15,103,110,21,68,29,110,33,76,292,17,627,22,1,0,0,15,-68.85820385,-32.89813495
GRANADEROS,2527,Interseccion,500070902,564,190,12,48,113,5,56,16,101,22,71,261,18,538,13,0,0,0,13,-68.85813099,-32.89690857
MITRE BARTOLOME GRAL AV,2535,Interseccion,500070801,562,164,17,106,53,21,66,19,97,22,68,223,14,510,25,0,0,2,1,-68.84809275,-32.89815914
VIRGEN DEL CARMEN DE CUYO,2539,Interseccion,500070801,562,164,17,106,53,21,66,19,97,22,68,223,14,510,25,0,0,2,1,-68.84786827,-32.8981769
MARTINEZ DE ROZAS JUAN,2547,Interseccion,500070905,697,295,31,92,109,20,41,30,111,14,55,367,29,651,24,1,1,1,9,-68.8568891,-32.89819657
MARTINEZ DE ROZAS JUAN,2549,Interseccion,500070903,567,199,13,64,122,11,41,23,95,9,48,304,16,541,9,1,0,0,8,-68.85677357,-32.89692506
PATRICIAS MENDOCINAS,2559,Interseccion,500070801,562,164,17,106,53,21,66,19,97,22,68,223,14,510,25,0,0,2,3,-68.8451962,-32.89818264
PATRICIAS MENDOCINAS,2560,Interseccion,500070801,562,164,17,106,53,21,66,19,97,22,68,223,14,510,25,0,0,2,42,-68.84510192,-32.89708246
DIAZ CNEL,2568,Interseccion,500490914,935,293,62,183,128,27,220,63,293,69,74,115,1,852,41,4,0,6,10,-68.83023402,-32.8666537
LLORENS JOSE RVDO,2572,Interseccion,500071005,1244,335,66,350,129,56,491,101,320,63,39,33,1,1054,108,23,0,12,29,-68.86628859,-32.86671096
CERRO DE LAS MENTAS BV,2579,Interseccion,500071019,1190,351,23,208,113,43,76,103,141,61,93,576,66,1120,44,0,66,3,2,-68.88683473,-32.86675828
CERRO BANDERITA SUR,2582,Interseccion,500071001,1179,326,30,213,85,43,95,94,138,71,86,549,67,1106,41,0,71,11,0,-68.89285091,-32.86565818
CERRO BANDERITA SUR,2583,Interseccion,500071019,1190,351,23,208,113,43,76,103,141,61,93,576,66,1120,44,0,66,3,2,-68.88683905,-32.86679138
CERRO BANDERITA SUR,2584,Interseccion,500071019,1190,351,23,208,113,43,76,103,141,61,93,576,66,1120,44,0,66,3,2,-68.88684359,-32.86679052
SALTA,2588,Interseccion,500070201,1065,365,37,215,150,32,217,58,292,52,108,231,10,977,45,2,4,1,20,-68.83226931,-32.86670604
MORENO JOSE FEDERICO,2589,Interseccion,500070201,1065,365,37,215,150,32,217,58,292,52,108,231,10,977,45,2,4,1,16,-68.83179385,-32.8667054
FADER FERNANDO,2596,Interseccion,500071101,643,210,12,94,101,16,58,37,93,25,57,294,32,598,22,0,1,2,3,-68.85696099,-32.86675474
LLORENS JOSE RVDO,2608,Interseccion,500071008,1174,293,99,342,103,38,514,80,271,70,25,43,0,1008,81,19,0,7,29,-68.86611749,-32.86680996
FADER FERNANDO,2616,Interseccion,500071101,643,210,12,94,101,16,58,37,93,25,57,294,32,598,22,0,1,2,3,-68.85832849,-32.86682843
FADER FERNANDO,2623,Interseccion,500071007,612,241,27,125,81,19,111,29,172,28,85,117,10,553,27,0,1,7,3,-68.85848552,-32.86684226
CERRO TOLOSA,2627,Interseccion,500071008,1174,293,99,342,103,38,514,80,271,70,25,43,0,1008,81,19,0,7,1,-68.86166198,-32.86686823
COOPERATIVA AV,2637,Interseccion,500071008,1174,293,99,342,103,38,514,80,271,70,25,43,0,1008,81,19,0,7,28,-68.86552971,-32.8668995
9 DE JULIO,2639,Interseccion,500070703,714,254,19,141,109,28,96,51,184,35,86,178,10,649,32,6,0,2,16,-68.83461958,-32.86687147
PLUMERILLO,2643,Interseccion,500071005,1244,335,66,350,129,56,491,101,320,63,39,33,1,1054,108,23,0,12,6,-68.86804048,-32.86695627
CADETES CHILENOS,2646,Interseccion,500070703,714,254,19,141,109,28,96,51,184,35,86,178,10,649,32,6,0,2,9,-68.83593367,-32.8669273
CRISTO REDENTOR SUR AV,2657,Interseccion,500071004,1587,381,43,470,156,84,492,306,295,166,23,33,0,1360,132,30,0,6,0,-68.87040172,-32.86697678
COOPERATIVA AV,2663,Interseccion,500071008,1174,293,99,342,103,38,514,80,271,70,25,43,0,1008,81,19,0,7,21,-68.86494194,-32.86698002
LOS PESCADORES,2667,Interseccion,500490919,541,173,31,129,75,10,131,70,162,31,32,62,1,493,23,3,0,2,15,-68.82165922,-32.8669258
CORDON DEL PLATA SUR,2669,Interseccion,500071008,1174,293,99,342,103,38,514,80,271,70,25,43,0,1008,81,19,0,7,18,-68.86474958,-32.86700686
CADETES CHILENOS,2678,Interseccion,500070704,669,233,25,106,115,20,100,27,178,13,93,194,14,624,22,0,0,1,15,-68.83724777,-32.8669741
ESEVERRI GAINZA JOSE DR,2693,Interseccion,500071003,921,277,26,177,98,39,99,50,188,51,92,330,31,856,33,0,1,1,2,-68.87865005,-32.86703915
MAZZA SALVADOR DR,2699,Interseccion,500071003,921,277,26,177,98,39,99,50,188,51,92,330,31,856,33,0,1,1,1,-68.87937606,-32.86689985
LOS PESCADORES,2703,Interseccion,500490913,933,258,37,248,104,33,252,129,259,48,59,69,3,832,56,9,1,11,15,-68.82145612,-32.8669706
LOS PESCADORES,2707,Interseccion,500490913,933,258,37,248,104,33,252,129,259,48,59,69,3,832,56,9,1,11,14,-68.82134928,-32.86697045
FCGSM,2709,Interseccion,500070706,784,305,27,106,122,18,116,26,194,29,109,236,18,735,23,1,5,0,8,-68.84400029,-32.86701878
RAMIREZ CNEL,2714,Interseccion,500070202,763,250,20,172,94,23,173,47,224,22,83,127,2,681,40,2,0,0,17,-68.82262067,-32.86699931
LOS PESCADORES,2718,Interseccion,500070202,763,250,20,172,94,23,173,47,224,22,83,127,2,681,40,2,0,0,16,-68.82171784,-32.86699802
LOS PESCADORES,2719,Interseccion,500070202,763,250,20,172,94,23,173,47,224,22,83,127,2,681,40,2,0,0,16,-68.8216751,-32.86699796
LOS PESCADORES,2725,Interseccion,500490913,933,258,37,248,104,33,252,129,259,48,59,69,3,832,56,9,1,11,11,-68.82068943,-32.86701008
COOPERATIVA AV,2728,Interseccion,500071008,1174,293,99,342,103,38,514,80,271,70,25,43,0,1008,81,19,0,7,12,-68.86430073,-32.86706949
EL JUNCAL,2733,Interseccion,500071004,1587,381,43,470,156,84,492,306,295,166,23,33,0,1360,132,30,0,6,1,-68.86868134,-32.8670922
25 DE MAYO,2742,Interseccion,500070705,656,248,32,103,125,13,120,35,189,22,69,170,9,617,19,0,1,3,6,-68.84123291,-32.8670694
LOS PESCADORES,2744,Interseccion,500490913,933,258,37,248,104,33,252,129,259,48,59,69,3,832,56,9,1,11,9,-68.82008835,-32.86704979
DE VILLAGRA FRANCISCO,2747,Interseccion,500070215,517,178,22,108,90,28,146,19,161,19,40,73,2,467,30,0,0,1,15,-68.82134106,-32.86707413
LOS PESCADORES,2750,Interseccion,500490913,933,258,37,248,104,33,252,129,259,48,59,69,3,832,56,9,1,11,9,-68.81974106,-32.86707183
FRAY JUSTO STA MARIA DE ORO,2754,Interseccion,500071107,770,257,15,143,149,26,168,34,212,33,72,178,7,712,27,2,0,4,11,-68.8452502,-32.86711951
EL PARRAL,2765,Interseccion,500071004,1587,381,43,470,156,84,492,306,295,166,23,33,0,1360,132,30,0,6,1,-68.86869194,-32.86715533
LA PLATA,2768,Interseccion,500070705,656,248,32,103,125,13,120,35,189,22,69,170,9,617,19,0,1,3,9,-68.83994,-32.86712185
BOLIVIA,2772,Interseccion,500071103,764,265,28,129,146,24,125,15,170,27,83,251,26,704,27,0,0,1,5,-68.85261177,-32.86714644
MORENO JOSE MARIA,2777,Interseccion,500070705,656,248,32,103,125,13,120,35,189,22,69,170,9,617,19,0,1,3,11,-68.83952327,-32.86713935
PLUMERILLO,2788,Interseccion,500071005,1244,335,66,350,129,56,491,101,320,63,39,33,1,1054,108,23,0,12,4,-68.86809356,-32.86718175
COOPERATIVA AV,2809,Interseccion,500071008,1174,293,99,342,103,38,514,80,271,70,25,43,0,1008,81,19,0,7,5,-68.86349922,-32.86718584
LOS PESCADORES,2813,Interseccion,500490913,933,258,37,248,104,33,252,129,259,48,59,69,3,832,56,9,1,11,7,-68.81882208,-32.86712911
CHENAUT INDALECIO,2815,Interseccion,500070215,517,178,22,108,90,28,146,19,161,19,40,73,2,467,30,0,0,1,10,-68.82009885,-32.86713997
FRAY JUSTO STA MARIA DE ORO,2818,Interseccion,500071106,1019,362,38,153,189,29,163,44,246,38,131,300,22,950,36,1,1,2,12,-68.84609416,-32.86718367
JUFRE JUAN,2829,Interseccion,500070202,763,250,20,172,94,23,173,47,224,22,83,127,2,681,40,2,0,0,13,-68.82412688,-32.86715472
VERA JUAN CRUZ DR,2832,Interseccion,500070202,763,250,20,172,94,23,173,47,224,22,83,127,2,681,40,2,0,0,11,-68.82546629,-32.86712127
LLORENS JOSE RVDO,2838,Interseccion,500071005,1244,335,66,350,129,56,491,101,320,63,39,33,1,1054,108,23,0,12,24,-68.86640536,-32.86721603
VILLAVICENCIO,2845,Interseccion,500071008,1174,293,99,342,103,38,514,80,271,70,25,43,0,1008,81,19,0,7,4,-68.86314655,-32.86723956
SAAVEDRA CORNELIO,2853,Interseccion,500071102,878,309,27,123,192,20,115,38,181,41,91,327,36,831,25,0,0,2,10,-68.85377625,-32.86722896
DE SAN MARTIN JOSE GRAL AV,2862,Interseccion,500070201,1065,365,37,215,150,32,217,58,292,52,108,231,10,977,45,2,4,1,30,-68.83320859,-32.86721224
RAMIREZ CNEL,2866,Interseccion,500070202,763,250,20,172,94,23,173,47,224,22,83,127,2,681,40,2,0,0,17,-68.82265233,-32.86719772
CERRO FUNDICION,2875,Interseccion,500071019,1190,351,23,208,113,43,76,103,141,61,93,576,66,1120,44,0,66,3,0,-68.88425909,-32.86728792
LOS PESCADORES,2879,Interseccion,500490913,933,258,37,248,104,33,252,129,259,48,59,69,3,832,56,9,1,11,4,-68.81786029,-32.86721789
COOPERATIVA AV,2883,Interseccion,500071008,1174,293,99,342,103,38,514,80,271,70,25,43,0,1008,81,19,0,7,3,-68.86280457,-32.86728427
CERRO LOS GEMELOS BV,2889,Interseccion,500071001,1179,326,30,213,85,43,95,94,138,71,86,549,67,1106,41,0,71,11,0,-68.89076593,-32.86732082
CERRO LOS GEMELOS BV,2890,Interseccion,500071001,1179,326,30,213,85,43,95,94,138,71,86,549,67,1106,41,0,71,11,0,-68.89059759,-32.86674164
CIUDAD DE ROSARIO,2891,Interseccion,500070215,517,178,22,108,90,28,146,19,161,19,40,73,2,467,30,0,0,1,7,-68.81881382,-32.86725083
SALTA,2894,Interseccion,500070201,1065,365,37,215,150,32,217,58,292,52,108,231,10,977,45,2,4,1,25,-68.83242851,-32.86727432
MITRE BARTOLOME GRAL AV,2901,Interseccion,500070704,669,233,25,106,115,20,100,27,178,13,93,194,14,624,22,0,0,1,14,-68.83873234,-32.86729162
PERU,2913,Interseccion,500070706,784,305,27,106,122,18,116,26,194,29,109,236,18,735,23,1,5,0,6,-68.84290995,-32.86731497
MITRE BARTOLOME GRAL AV,2922,Interseccion,500070704,669,233,25,106,115,20,100,27,178,13,93,194,14,624,22,0,0,1,15,-68.83862546,-32.86730952
LOS PESCADORES,2935,Interseccion,,,,,,,,,,,,,,,,,,,,3,-68.81730991,-32.8672802
CERRO DE LAS MENTAS BV,2948,Interseccion,500071019,1190,351,23,208,113,43,76,103,141,61,93,576,66,1120,44,0,66,3,2,-68.88701553,-32.86741668
CERRO ANGOSTURA,2951,Interseccion,500071019,1190,351,23,208,113,43,76,103,141,61,93,576,66,1120,44,0,66,3,2,-68.88702474,-32.86744881
CERRO ANGOSTURA,2952,Interseccion,500071019,1190,351,23,208,113,43,76,103,141,61,93,576,66,1120,44,0,66,3,2,-68.88701985,-32.86744978
CERRO ANGOSTURA,2954,Interseccion,500071001,1179,326,30,213,85,43,95,94,138,71,86,549,67,1106,41,0,71,11,0,-68.89310497,-32.86624529
HERMANO SAN RAFAEL,2955,Interseccion,500071003,921,277,26,177,98,39,99,50,188,51,92,330,31,856,33,0,1,1,4,-68.88061549,-32.86741975
CERRO TOLOSA,2960,Interseccion,500071008,1174,293,99,342,103,38,514,80,271,70,25,43,0,1008,81,19,0,7,2,-68.86182138,-32.86742746
CERRO DE LOS SIETE COLORES AV,2965,Interseccion,500071019,1190,351,23,208,113,43,76,103,141,61,93,576,66,1120,44,0,66,3,0,-68.88336136,-32.86746743
CERRO DE LOS SIETE COLORES AV,2966,Interseccion,500071019,1190,351,23,208,113,43,76,103,141,61,93,576,66,1120,44,0,66,3,1,-68.88367135,-32.86549599
PLUMERILLO,2975,Interseccion,500071005,1244,335,66,350,129,56,491,101,320,63,39,33,1,1054,108,23,0,12,3,-68.86814659,-32.86745232
CRISTO REDENTOR SUR AV,2977,Interseccion,500071004,1587,381,43,470,156,84,492,306,295,166,23,33,0,1360,132,30,0,6,0,-68.87045443,-32.86746374
SAN RAFAEL,2985,Interseccion,500491013,730,231,21,137,126,23,153,31,236,19,69,151,2,669,34,2,0,3,3,-68.81730162,-32.86741544
METRAUX ALFREDO DR,3000,Interseccion,500071003,921,277,26,177,98,39,99,50,188,51,92,330,31,856,33,0,1,1,2,-68.87596755,-32.86754147
GRAN CAPITAN ESTE AV,3012,Interseccion,500071008,1174,293,99,342,103,38,514,80,271,70,25,43,0,1008,81,19,0,7,1,-68.86114697,-32.86752386
FCGSM,3033,Interseccion,500070706,784,305,27,106,122,18,116,26,194,29,109,236,18,735,23,1,5,0,12,-68.84413827,-32.86754193
PATRICIAS MENDOCINAS,3036,Interseccion,500070704,669,233,25,106,115,20,100,27,178,13,93,194,14,624,22,0,0,1,14,-68.8373963,-32.86755138
EL JUNCAL,3049,Interseccion,500071004,1587,381,43,470,156,84,492,306,295,166,23,33,0,1360,132,30,0,6,1,-68.8688088,-32.8676063
FRAY JUSTO STA MARIA DE ORO,3074,Interseccion,500071106,1019,362,38,153,189,29,163,44,246,38,131,300,22,950,36,1,1,2,21,-68.84885001,-32.86762886
MAZZA SALVADOR DR,3084,Interseccion,500071020,848,259,39,190,97,35,124,80,180,50,78,225,22,766,40,1,0,23,0,-68.87497097,-32.86773375
CACHEUTA,3098,Interseccion,500071009,1259,325,107,361,98,53,517,78,335,72,37,52,1,1101,83,11,2,11,7,-68.86443869,-32.86769181
LLORENS JOSE RVDO,3101,Interseccion,500071005,1244,335,66,350,129,56,491,101,320,63,39,33,1,1054,108,23,0,12,16,-68.86651148,-32.86770306
FRAY JUSTO STA MARIA DE ORO,3109,Interseccion,500071106,1019,362,38,153,189,29,163,44,246,38,131,300,22,950,36,1,1,2,18,-68.85016408,-32.86770258
BOLIVIA,3121,Interseccion,500071103,764,265,28,129,146,24,125,15,170,27,83,251,26,704,27,0,0,1,13,-68.85256808,-32.86772347
PERU,3125,Interseccion,500070706,784,305,27,106,122,18,116,26,194,29,109,236,18,735,23,1,5,0,7,-68.84301608,-32.86772086
BAJADA DE ARROLLABES,3132,Interseccion,500491013,730,231,21,137,126,23,153,31,236,19,69,151,2,669,34,2,0,3,3,-68.81730107,-32.86768595
LATERAL AV CHAMPAGNAT,3135,Interseccion,500071020,848,259,39,190,97,35,124,80,180,50,78,225,22,766,40,1,0,23,2,-68.88198553,-32.87092353
LATERAL AV CHAMPAGNAT,3136,Interseccion,500071003,921,277,26,177,98,39,99,50,188,51,92,330,31,856,33,0,1,1,5,-68.88263563,-32.86702203
LATERAL AV CHAMPAGNAT,3138,Interseccion,500071002,741,242,38,116,93,18,120,39,188,46,71,217,14,699,24,0,9,3,6,-68.88164783,-32.8745444
LATERAL AV CHAMPAGNAT,3139,Interseccion,500071020,848,259,39,190,97,35,124,80,180,50,78,225,22,766,40,1,0,23,0,-68.88244735,-32.86806891
LATERAL AV CHAMPAGNAT,3141,Interseccion,500071003,921,277,26,177,98,39,99,50,188,51,92,330,31,856,33,0,1,1,1,-68.88249755,-32.8677898
LATERAL AV CHAMPAGNAT,3143,Interseccion,500071020,848,259,39,190,97,35,124,80,180,50,78,225,22,766,40,1,0,23,1,-68.88219017,-32.86956742
LATERAL AV CHAMPAGNAT,3144,Interseccion,500071002,741,242,38,116,93,18,120,39,188,46,71,217,14,699,24,0,9,3,8,-68.88179778,-32.87271633
LATERAL AV CHAMPAGNAT,3145,Interseccion,500071002,741,242,38,116,93,18,120,39,188,46,71,217,14,699,24,0,9,3,2,-68.88195576,-32.8711897
FRAY JUSTO STA MARIA DE ORO,3148,Interseccion,500071106,1019,362,38,153,189,29,163,44,246,38,131,300,22,950,36,1,1,2,15,-68.85094398,-32.86774859
VIDELA CASTILLO,3159,Interseccion,500070201,1065,365,37,215,150,32,217,58,292,52,108,231,10,977,45,2,4,1,15,-68.82732042,-32.86773625
FRAY JUSTO STA MARIA DE ORO,3161,Interseccion,500071102,878,309,27,123,192,20,115,38,181,41,91,327,36,831,25,0,0,2,21,-68.85372191,-32.86778794
25 DE MAYO,3169,Interseccion,500070707,666,234,18,91,115,12,81,39,165,42,81,200,13,625,14,1,0,0,3,-68.84142398,-32.86777296
FRAY JUSTO STA MARIA DE ORO,3175,Interseccion,500071103,764,265,28,129,146,24,125,15,170,27,83,251,26,704,27,0,0,1,14,-68.85172388,-32.86779461
RAMIREZ CNEL,3185,Interseccion,500070202,763,250,20,172,94,23,173,47,224,22,83,127,2,681,40,2,0,0,16,-68.82271531,-32.86776588
AV ESPAÃ‘A,3190,Interseccion,500070703,714,254,19,141,109,28,96,51,184,35,86,178,10,649,32,6,0,2,11,-68.83613508,-32.86779319
CONFRATERNIDAD FERROVIARIA,3201,Interseccion,500070201,1065,365,37,215,150,32,217,58,292,52,108,231,10,977,45,2,4,1,14,-68.8264442,-32.86778012
FRAY JUSTO STA MARIA DE ORO,3205,Interseccion,500071103,764,265,28,129,146,24,125,15,170,27,83,251,26,704,27,0,0,1,15,-68.85255718,-32.86784969
