ID;radio_censal;punto_tipo;poblacion;hogares;desocupado;0-14;65_mas;inicial;primario;egb;secundario;polimodal;superior;universitario;post_universitario;lee_y _esc;NoLee_ni_e;hacinamiento;sin_agua;sin_cloaca;densidad_comercial;microzonificacion;macrozonificacion;x;y;index
I343;500071004;Intersercción;1587;381;43;470;156;84;492;306;295;166;23;33;0;1360;132;30;0;6;2;Residencial urbano;Urbano;-68,86902102;-32,8686074;416
I344;500071004;Intersercción;1587;381;43;470;156;84;492;306;295;166;23;33;0;1360;132;30;0;6;1;Residencial urbano;Urbano;-68,86892559;-32,86811137;417
I345;500071004;Intersercción;1587;381;43;470;156;84;492;306;295;166;23;33;0;1360;132;30;0;6;1;Residencial urbano;Urbano;-68,87058115;-32,8684918;418
I346;500071009;Intersercción;1259;325;107;361;98;53;517;78;335;72;37;52;1;1101;83;11;2;11;3;Residencial urbano;Urbano;-68,86280277;-32,86845647;419
I347;500071009;Intersercción;1259;325;107;361;98;53;517;78;335;72;37;52;1;1101;83;11;2;11;3;Residencial urbano;Urbano;-68,86334746;-32,86860133;420
I348;500071106;Intersercción;1019;362;38;153;189;29;163;44;246;38;131;300;22;950;36;1;1;2;24;Residencial urbano;Urbano;-68,84664735;-32,86858197;421
I349;500071106;Intersercción;1019;362;38;153;189;29;163;44;246;38;131;300;22;950;36;1;1;2;13;Residencial urbano;Urbano;-68,84674537;-32,86750006;422
I350;500071019;Intersercción;1190;351;23;208;113;43;76;103;141;61;93;576;66;1120;44;0;66;3;1;Residencial suburbano;Interfaz;-68,88720569;-32,86808012;423
I351;500071019;Intersercción;1190;351;23;208;113;43;76;103;141;61;93;576;66;1120;44;0;66;3;1;Residencial suburbano;Interfaz;-68,88719637;-32,86804803;424
I352;500071019;Intersercción;1190;351;23;208;113;43;76;103;141;61;93;576;66;1120;44;0;66;3;0;Residencial suburbano;Interfaz;-68,88736659;-32,86863428;425
I353;500071019;Intersercción;1190;351;23;208;113;43;76;103;141;61;93;576;66;1120;44;0;66;3;0;Residencial suburbano;Interfaz;-68,88737579;-32,86866642;426
I354;500071001;Intersercción;1179;326;30;213;85;43;95;94;138;71;86;549;67;1106;41;0;71;11;;Residencial suburbano;Interfaz;-68,89095098;-32,86796785;427
I355;500071019;Intersercción;1190;351;23;208;113;43;76;103;141;61;93;576;66;1120;44;0;66;3;0;Residencial suburbano;Interfaz;-68,8873709;-32,86866738;428
I356;500071001;Intersercción;1179;326;30;213;85;43;95;94;138;71;86;549;67;1106;41;0;71;11;0;Residencial suburbano;Interfaz;-68,89357862;-32,86745435;429
I357;500071108;Intersercción;985;375;38;161;145;28;166;47;198;47;120;312;15;915;35;1;0;3;21;Residencial urbano;Urbano;-68,84605968;-32,86859027;430
I358;500070707;Intersercción;666;234;18;91;115;12;81;39;165;42;81;200;13;625;14;1;0;0;6;Residencial urbano;Urbano;-68,8403327;-32,86858309;431
I359;500070707;Intersercción;666;234;18;91;115;12;81;39;165;42;81;200;13;625;14;1;0;0;5;Residencial urbano;Urbano;-68,84014169;-32,86785248;432
I360;500070707;Intersercción;666;234;18;91;115;12;81;39;165;42;81;200;13;625;14;1;0;0;3;Residencial urbano;Urbano;-68,84161505;-32,86847652;433
I361;500071106;Intersercción;1019;362;38;153;189;29;163;44;246;38;131;300;22;950;36;1;1;2;33;Residencial urbano;Urbano;-68,84743793;-32,86862803;434
I362;500071106;Intersercción;1019;362;38;153;189;29;163;44;246;38;131;300;22;950;36;1;1;2;15;Residencial urbano;Urbano;-68,84751458;-32,86754609;435
I363;500071019;Intersercción;1190;351;23;208;113;43;76;103;141;61;93;576;66;1120;44;0;66;3;0;Residencial suburbano;Interfaz;-68,8840329;-32,86868534;436
I364;500071019;Intersercción;1190;351;23;208;113;43;76;103;141;61;93;576;66;1120;44;0;66;3;0;Residencial suburbano;Interfaz;-68,88415132;-32,86800016;437
I365;500071019;Intersercción;1190;351;23;208;113;43;76;103;141;61;93;576;66;1120;44;0;66;3;1;Residencial suburbano;Interfaz;-68,88720069;-32,86808113;438
I366;500070707;Intersercción;666;234;18;91;115;12;81;39;165;42;81;200;13;625;14;1;0;0;10;Residencial urbano;Urbano;-68,83960605;-32,86863626;439
I367;500070707;Intersercción;666;234;18;91;115;12;81;39;165;42;81;200;13;625;14;1;0;0;9;Residencial urbano;Urbano;-68,83959584;-32,86837476;440
I368;500070708;Intersercción;485;173;23;67;97;13;68;17;131;24;70;129;4;448;21;1;0;2;14;Residencial urbano;Urbano;-68,83741757;-32,86760551;441
I369;500070708;Intersercción;485;173;23;67;97;13;68;17;131;24;70;129;4;448;21;1;0;2;14;Residencial urbano;Urbano;-68,83766144;-32,86863375;442
I370;500070708;Intersercción;485;173;23;67;97;13;68;17;131;24;70;129;4;448;21;1;0;2;12;Residencial urbano;Urbano;-68,83890117;-32,86846404;443
I371;500071005;Intersercción;1244;335;66;350;129;56;491;101;320;63;39;33;1;1054;108;23;0;12;4;Residencial urbano;Urbano;-68,86673437;-32,86869515;444
I372;500071005;Intersercción;1244;335;66;350;129;56;491;101;320;63;39;33;1;1054;108;23;0;12;8;Residencial urbano;Urbano;-68,86662824;-32,86821715;445
I373;500071106;Intersercción;1019;362;38;153;189;29;163;44;246;38;131;300;22;950;36;1;1;2;41;Residencial urbano;Urbano;-68,84822852;-32,86867407;446
I374;500071106;Intersercción;1019;362;38;153;189;29;163;44;246;38;131;300;22;950;36;1;1;2;19;Residencial urbano;Urbano;-68,84833721;-32,86759217;447
I375;500070215;Intersercción;517;178;22;108;90;28;146;19;161;19;40;73;2;467;30;0;0;1;11;Residencial urbano;Urbano;-68,82154894;-32,86863886;448
I376;500070215;Intersercción;517;178;22;108;90;28;146;19;161;19;40;73;2;467;30;0;0;1;14;Residencial urbano;Urbano;-68,82143306;-32,86781815;449
I377;500070201;Intersercción;1065;365;37;215;150;32;217;58;292;52;108;231;10;977;45;2;4;1;11;Residencial urbano;Urbano;-68,82906023;-32,86865836;450
I378;500071108;Intersercción;985;375;38;161;145;28;166;47;198;47;120;312;15;915;35;1;0;3;34;Residencial urbano;Urbano;-68,84743783;-32,86869114;451
I379;500071005;Intersercción;1244;335;66;350;129;56;491;101;320;63;39;33;1;1054;108;23;0;12;4;Residencial urbano;Urbano;-68,86657406;-32,86872203;452
I380;500071106;Intersercción;1019;362;38;153;189;29;163;44;246;38;131;300;22;950;36;1;1;2;44;Residencial urbano;Urbano;-68,84877339;-32,86870178;453
I381;500070202;Intersercción;763;250;20;172;94;23;173;47;224;22;83;127;2;681;40;2;0;0;10;Residencial urbano;Urbano;-68,82428416;-32,86866978;454
I382;500070202;Intersercción;763;250;20;172;94;23;173;47;224;22;83;127;2;681;40;2;0;0;12;Residencial urbano;Urbano;-68,82420023;-32,86788519;455
I383;500070202;Intersercción;763;250;20;172;94;23;173;47;224;22;83;127;2;681;40;2;0;0;13;Residencial urbano;Urbano;-68,82558417;-32,86866296;456
I384;500071009;Intersercción;1259;325;107;361;98;53;517;78;335;72;37;52;1;1101;83;11;2;11;7;Residencial urbano;Urbano;-68,86641441;-32,86830709;457
I385;500071009;Intersercción;1259;325;107;361;98;53;517;78;335;72;37;52;1;1101;83;11;2;11;4;Residencial urbano;Urbano;-68,86649925;-32,86873097;458
I386;500071009;Intersercción;1259;325;107;361;98;53;517;78;335;72;37;52;1;1101;83;11;2;11;3;Residencial urbano;Urbano;-68,86530931;-32,86871198;459
I387;500071009;Intersercción;1259;325;107;361;98;53;517;78;335;72;37;52;1;1101;83;11;2;11;5;Residencial urbano;Urbano;-68,86523896;-32,86839599;460
I388;500070202;Intersercción;763;250;20;172;94;23;173;47;224;22;83;127;2;681;40;2;0;0;12;Residencial urbano;Urbano;-68,82283101;-32,86868577;461
I389;500070202;Intersercción;763;250;20;172;94;23;173;47;224;22;83;127;2;681;40;2;0;0;16;Residencial urbano;Urbano;-68,8227363;-32,86795526;462
I390;500070215;Intersercción;517;178;22;108;90;28;146;19;161;19;40;73;2;467;30;0;0;1;10;Residencial urbano;Urbano;-68,82018287;-32,86786145;463
I391;500070215;Intersercción;517;178;22;108;90;28;146;19;161;19;40;73;2;467;30;0;0;1;8;Residencial urbano;Urbano;-68,82028805;-32,86869116;464
I392;500071106;Intersercción;1019;362;38;153;189;29;163;44;246;38;131;300;22;950;36;1;1;2;42;Residencial urbano;Urbano;-68,84929688;-32,86873848;465
I393;500071106;Intersercción;1019;362;38;153;189;29;163;44;246;38;131;300;22;950;36;1;1;2;20;Residencial urbano;Urbano;-68,84938419;-32,86765656;466
I394;500071020;Intersercción;848;259;39;190;97;35;124;80;180;50;78;225;22;766;40;1;0;23;2;Residencial urbano;Urbano;-68,87722662;-32,86877803;467
I395;500071003;Intersercción;921;277;26;177;98;39;99;50;188;51;92;330;31;856;33;0;1;1;3;Residencial urbano;Urbano;-68,8768546;-32,86737102;468
I396;500070101;Intersercción;947;344;34;140;163;26;124;58;234;44;104;295;15;884;30;2;0;1;19;Residencial urbano;Urbano;-68,84119244;-32,8717942;469
I397;500071021;Intersercción;1026;249;38;324;66;53;512;61;192;45;19;20;0;859;93;18;0;7;0;Residencial urbano;Urbano;-68,86581173;-32,87122432;470
I398;500071011;Intersercción;745;188;18;213;55;29;317;36;201;20;20;22;1;626;58;20;0;4;0;Residencial urbano;Urbano;-68,86576638;-32,87121033;471
I399;500071021;Intersercción;1026;249;38;324;66;53;512;61;192;45;19;20;0;859;93;18;0;7;1;Residencial urbano;Urbano;-68,86754787;-32,8717599;472
I400;500071021;Intersercción;1026;249;38;324;66;53;512;61;192;45;19;20;0;859;93;18;0;7;1;Residencial urbano;Urbano;-68,86771362;-32,87121191;473
I401;500071110;Intersercción;853;287;24;138;160;31;113;29;190;32;90;318;19;799;31;0;0;0;2;Residencial urbano;Urbano;-68,85732701;-32,87171446;474
I402;500071110;Intersercción;853;287;24;138;160;31;113;29;190;32;90;318;19;799;31;0;0;0;5;Residencial urbano;Urbano;-68,85670708;-32,87183097;475
I403;500071110;Intersercción;853;287;24;138;160;31;113;29;190;32;90;318;19;799;31;0;0;0;5;Residencial urbano;Urbano;-68,85664296;-32,87183992;476
I404;500071110;Intersercción;853;287;24;138;160;31;113;29;190;32;90;318;19;799;31;0;0;0;4;Residencial urbano;Urbano;-68,85652657;-32,87112745;477
I405;500491105;Intersercción;513;153;17;158;14;28;93;38;110;23;52;111;19;450;35;7;151;150;;Residencial piedemonte;Interfaz;-68,92005879;-32,87191455;478
I406;500070207;Intersercción;785;233;23;115;110;16;154;52;214;30;80;179;13;724;29;2;0;0;16;Residencial urbano;Urbano;-68,83194124;-32,87070009;479
I407;500070207;Intersercción;785;233;23;115;110;16;154;52;214;30;80;179;13;724;29;2;0;0;18;Residencial urbano;Urbano;-68,83199254;-32,87182727;480
I408;500070208;Intersercción;585;209;17;90;88;12;91;36;148;25;84;159;6;556;11;2;0;0;41;Residencial urbano;Urbano;-68,83339252;-32,87170291;481
I409;500071012;Intersercción;583;250;10;137;93;32;103;38;186;22;51;95;8;514;36;0;0;9;1;Residencial urbano;Urbano;-68,86144947;-32,87196243;482
I410;500071012;Intersercción;583;250;10;137;93;32;103;38;186;22;51;95;8;514;36;0;0;9;2;Residencial urbano;Urbano;-68,86124304;-32,87051831;483
I411;500071012;Intersercción;583;250;10;137;93;32;103;38;186;22;51;95;8;514;36;0;0;9;2;Residencial urbano;Urbano;-68,86128044;-32,87077998;484
I412;500071020;Intersercción;848;259;39;190;97;35;124;80;180;50;78;225;22;766;40;1;0;23;;Residencial urbano;Urbano;-68,87579196;-32,87053705;485
I413;500071020;Intersercción;848;259;39;190;97;35;124;80;180;50;78;225;22;766;40;1;0;23;;Residencial urbano;Urbano;-68,87578179;-32,87049883;486
I414;500071020;Intersercción;848;259;39;190;97;35;124;80;180;50;78;225;22;766;40;1;0;23;;Residencial urbano;Urbano;-68,87615381;-32,87189682;487
I415;500071113;Intersercción;500;179;13;70;117;11;92;18;137;16;67;120;14;473;13;2;0;0;7;Residencial urbano;Urbano;-68,84827651;-32,87186612;488
I416;500071108;Intersercción;985;375;38;161;145;28;166;47;198;47;120;312;15;915;35;1;0;3;17;Residencial urbano;Urbano;-68,84800048;-32,87081982;489
I417;500071111;Intersercción;575;186;26;88;99;16;68;30;138;24;65;191;11;529;20;0;0;1;7;Residencial urbano;Urbano;-68,84953774;-32,8716332;490
I418;500071002;Intersercción;741;242;38;116;93;18;120;39;188;46;71;217;14;699;24;0;9;3;4;Residencial urbano;Urbano;-68,88144309;-32,87177571;491
I419;500071002;Intersercción;741;242;38;116;93;18;120;39;188;46;71;217;14;699;24;0;9;3;5;Residencial urbano;Urbano;-68,88144289;-32,871929;492
I420;500071021;Intersercción;1026;249;38;324;66;53;512;61;192;45;19;20;0;859;93;18;0;7;1;Residencial urbano;Urbano;-68,86826899;-32,87138382;493
I421;500071021;Intersercción;1026;249;38;324;66;53;512;61;192;45;19;20;0;859;93;18;0;7;0;Residencial urbano;Urbano;-68,86996713;-32,87191759;494
I422;500071021;Intersercción;1026;249;38;324;66;53;512;61;192;45;19;20;0;859;93;18;0;7;0;Residencial urbano;Urbano;-68,86996713;-32,87191759;495
I423;500071010;Intersercción;1376;332;67;429;105;73;613;68;359;48;22;30;0;1157;116;20;0;8;0;Residencial urbano;Urbano;-68,87011744;-32,87142182;496
I424;500071007;Intersercción;612;241;27;125;81;19;111;29;172;28;85;117;10;553;27;0;1;7;2;Residencial urbano;Urbano;-68,86082974;-32,8705745;497
I425;500071012;Intersercción;583;250;10;137;93;32;103;38;186;22;51;95;8;514;36;0;0;9;2;Residencial urbano;Urbano;-68,86087388;-32,87083126;498
I426;500070207;Intersercción;785;233;23;115;110;16;154;52;214;30;80;179;13;724;29;2;0;0;11;Residencial urbano;Urbano;-68,83049847;-32,87086045;499
I427;500070207;Intersercción;785;233;23;115;110;16;154;52;214;30;80;179;13;724;29;2;0;0;18;Residencial urbano;Urbano;-68,83054993;-32,87189746;500
I428;500071109;Intersercción;676;230;15;76;146;20;88;3;151;30;73;270;14;639;17;0;0;0;9;Residencial urbano;Urbano;-68,85168764;-32,87031028;501
I429;500071110;Intersercción;853;287;24;138;160;31;113;29;190;32;90;318;19;799;31;0;0;0;3;Residencial urbano;Urbano;-68,85200547;-32,87194272;502
I430;500071110;Intersercción;853;287;24;138;160;31;113;29;190;32;90;318;19;799;31;0;0;0;3;Residencial urbano;Urbano;-68,85272159;-32,87180831;503
I431;500071110;Intersercción;853;287;24;138;160;31;113;29;190;32;90;318;19;799;31;0;0;0;8;Residencial urbano;Urbano;-68,85601235;-32,87195641;504
I432;500071110;Intersercción;853;287;24;138;160;31;113;29;190;32;90;318;19;799;31;0;0;0;6;Residencial urbano;Urbano;-68,85586391;-32,87124391;505
I433;500071012;Intersercción;583;250;10;137;93;32;103;38;186;22;51;95;8;514;36;0;0;9;1;Residencial urbano;Urbano;-68,86065785;-32,87200332;506
I434;500071012;Intersercción;583;250;10;137;93;32;103;38;186;22;51;95;8;514;36;0;0;9;2;Residencial urbano;Urbano;-68,86044345;-32,87066588;507
I435;500071012;Intersercción;583;250;10;137;93;32;103;38;186;22;51;95;8;514;36;0;0;9;2;Residencial urbano;Urbano;-68,86047751;-32,87087839;508
I436;500070204;Intersercción;876;287;39;157;125;23;229;59;261;57;55;130;8;810;35;3;0;1;17;Residencial urbano;Urbano;-68,82209628;-32,8727784;509
I437;500070204;Intersercción;876;287;39;157;125;23;229;59;261;57;55;130;8;810;35;3;0;1;12;Residencial urbano;Urbano;-68,82216974;-32,87344575;510
I438;500070204;Intersercción;876;287;39;157;125;23;229;59;261;57;55;130;8;810;35;3;0;1;15;Residencial urbano;Urbano;-68,82342004;-32,87338441;511
I439;500070710;Intersercción;831;297;49;138;160;34;134;34;217;30;78;258;16;775;36;4;0;1;27;Residencial urbano;Urbano;-68,83982171;-32,87348764;512
I440;500070710;Intersercción;831;297;49;138;160;34;134;34;217;30;78;258;16;775;36;4;0;1;26;Residencial urbano;Urbano;-68,83978026;-32,87276623;513
I441;500070101;Intersercción;947;344;34;140;163;26;124;58;234;44;104;295;15;884;30;2;0;1;25;Residencial urbano;Urbano;-68,84005707;-32,87332563;514
I442;500070601;Intersercción;612;212;24;105;93;16;68;36;120;19;62;244;24;578;15;0;0;3;2;Residencial urbano;Urbano;-68,85813618;-32,87352778;515
I443;500071013;Intersercción;12;1;0;1;0;0;3;0;0;3;5;0;0;12;0;0;0;0;2;Residencial urbano;Urbano;-68,85875911;-32,87342194;516
I444;500070604;Intersercción;620;215;17;101;103;16;79;42;156;29;62;189;15;577;22;1;0;0;8;Residencial urbano;Urbano;-68,85186391;-32,87353854;517
I445;500070604;Intersercción;620;215;17;101;103;16;79;42;156;29;62;189;15;577;22;1;0;0;6;Residencial urbano;Urbano;-68,8526228;-32,87339517;518
I446;500491013;Intersercción;730;231;21;137;126;23;153;31;236;19;69;151;2;669;34;2;0;3;7;Residencial urbano;Urbano;-68,82059889;-32,87350663;519
I447;500491013;Intersercción;730;231;21;137;126;23;153;31;236;19;69;151;2;669;34;2;0;3;9;Residencial urbano;Urbano;-68,82036974;-32,87321776;520
I448;500071113;Intersercción;500;179;13;70;117;11;92;18;137;16;67;120;14;473;13;2;0;0;5;Residencial urbano;Urbano;-68,84738676;-32,8735512;521
I449;500071113;Intersercción;500;179;13;70;117;11;92;18;137;16;67;120;14;473;13;2;0;0;3;Residencial urbano;Urbano;-68,8471957;-32,87281158;522
I450;500071113;Intersercción;500;179;13;70;117;11;92;18;137;16;67;120;14;473;13;2;0;0;11;Residencial urbano;Urbano;-68,84864802;-32,87331829;523
I451;500071113;Intersercción;500;179;13;70;117;11;92;18;137;16;67;120;14;473;13;2;0;0;5;Residencial urbano;Urbano;-68,84737606;-32,8735602;524
I452;500070601;Intersercción;612;212;24;105;93;16;68;36;120;19;62;244;24;578;15;0;0;3;3;Residencial urbano;Urbano;-68,85761348;-32,87297716;525
I453;500070601;Intersercción;612;212;24;105;93;16;68;36;120;19;62;244;24;578;15;0;0;3;3;Residencial urbano;Urbano;-68,85774071;-32,87359947;526
I454;500070601;Intersercción;612;212;24;105;93;16;68;36;120;19;62;244;24;578;15;0;0;3;3;Residencial urbano;Urbano;-68,85759109;-32,87361733;527
I455;500491013;Intersercción;730;231;21;137;126;23;153;31;236;19;69;151;2;669;34;2;0;3;7;Residencial urbano;Urbano;-68,82060943;-32,87357878;528
I456;500071014;Intersercción;1057;259;56;300;71;51;430;65;254;55;34;45;3;904;90;14;0;2;;Residencial urbano;Urbano;-68,87034925;-32,87365826;529
I457;500071014;Intersercción;1057;259;56;300;71;51;430;65;254;55;34;45;3;904;90;14;0;2;0;Residencial urbano;Urbano;-68,86905693;-32,87325115;530
I458;500070101;Intersercción;947;344;34;140;163;26;124;58;234;44;104;295;15;884;30;2;0;1;6;Comercial;Altamente urbano;-68,84558077;-32,87365718;531
I459;500070101;Intersercción;947;344;34;140;163;26;124;58;234;44;104;295;15;884;30;2;0;1;11;Comercial;Altamente urbano;-68,84417151;-32,87297015;532
I460;500070101;Intersercción;947;344;34;140;163;26;124;58;234;44;104;295;15;884;30;2;0;1;6;Comercial;Altamente urbano;-68,84543335;-32,87240365;533
I461;500070209;Intersercción;806;304;30;143;116;22;147;45;230;31;88;183;10;739;29;4;0;0;27;Comercial;Altamente urbano;-68,83494891;-32,87366164;534
I462;500070208;Intersercción;585;209;17;90;88;12;91;36;148;25;84;159;6;556;11;2;0;0;34;Comercial;Altamente urbano;-68,83466236;-32,87260628;535
I463;500070711;Intersercción;924;354;20;136;201;34;120;46;224;36;105;302;17;864;31;0;0;3;23;Residencial urbano;Urbano;-68,83623158;-32,87341987;536
I464;500071111;Intersercción;575;186;26;88;99;16;68;30;138;24;65;191;11;529;20;0;0;1;9;Residencial urbano;Urbano;-68,85079641;-32,87292413;537
I465;500070604;Intersercción;620;215;17;101;103;16;79;42;156;29;62;189;15;577;22;1;0;0;13;Residencial urbano;Urbano;-68,85099815;-32,8736908;538
I466;500070602;Intersercción;581;225;27;88;114;17;52;34;135;14;71;221;13;547;15;0;0;2;5;Residencial urbano;Urbano;-68,8570246;-32,87372489;539
I467;500070602;Intersercción;581;225;27;88;114;17;52;34;135;14;71;221;13;547;15;0;0;2;6;Residencial urbano;Urbano;-68,85683402;-32,87263362;540
I468;500070710;Intersercción;831;297;49;138;160;34;134;34;217;30;78;258;16;775;36;4;0;1;26;Comercial;Altamente urbano;-68,83988543;-32,87370412;541
I469;500070101;Intersercción;947;344;34;140;163;26;124;58;234;44;104;295;15;884;30;2;0;1;10;Comercial;Altamente urbano;-68,84378632;-32,87326723;542
I470;500070104;Intersercción;519;245;9;65;132;11;73;12;119;9;59;198;12;484;14;0;0;0;8;Comercial;Altamente urbano;-68,8434329;-32,87372665;543
I471;500070104;Intersercción;519;245;9;65;132;11;73;12;119;9;59;198;12;484;14;0;0;0;24;Comercial;Altamente urbano;-68,84032403;-32,87342516;544
I472;500070104;Intersercción;519;245;9;65;132;11;73;12;119;9;59;198;12;484;14;0;0;0;23;Comercial;Altamente urbano;-68,840262;-32,87374969;545
I473;500070211;Intersercción;963;321;19;204;155;26;204;44;278;28;95;207;9;868;41;2;0;0;10;Residencial urbano;Urbano;-68,82219054;-32,87373432;546
I474;500070104;Intersercción;519;245;9;65;132;11;73;12;119;9;59;198;12;484;14;0;0;0;24;Comercial;Altamente urbano;-68,8401738;-32,87377663;547
I475;500491013;Intersercción;730;231;21;137;126;23;153;31;236;19;69;151;2;669;34;2;0;3;5;Residencial urbano;Urbano;-68,82055566;-32,87375002;548
I476;500070602;Intersercción;581;225;27;88;114;17;52;34;135;14;71;221;13;547;15;0;0;2;7;Residencial urbano;Urbano;-68,85655431;-32,8738055;549
I477;500070104;Intersercción;519;245;9;65;132;11;73;12;119;9;59;198;12;484;14;0;0;0;24;Comercial;Altamente urbano;-68,84010967;-32,87378556;550
I478;500070208;Intersercción;585;209;17;90;88;12;91;36;148;25;84;159;6;556;11;2;0;0;29;Residencial urbano;Urbano;-68,8334334;-32,87269482;551
I479;500070209;Intersercción;806;304;30;143;116;22;147;45;230;31;88;183;10;739;29;4;0;0;26;Residencial urbano;Urbano;-68,83348481;-32,87377692;552
I480;500071113;Intersercción;500;179;13;70;117;11;92;18;137;16;67;120;14;473;13;2;0;0;4;Comercial;Altamente urbano;-68,84605067;-32,87380203;553
I481;500071113;Intersercción;500;179;13;70;117;11;92;18;137;16;67;120;14;473;13;2;0;0;5;Residencial urbano;Urbano;-68,84584895;-32,87305338;554
I482;500071014;Intersercción;1057;259;56;300;71;51;430;65;254;55;34;45;3;904;90;14;0;2;;Residencial urbano;Urbano;-68,87093667;-32,87384822;555
I483;500071021;Intersercción;1026;249;38;324;66;53;512;61;192;45;19;20;0;859;93;18;0;7;;Residencial urbano;Urbano;-68,87102291;-32,87332533;556
I484;500071113;Intersercción;500;179;13;70;117;11;92;18;137;16;67;120;14;473;13;2;0;0;5;Comercial;Altamente urbano;-68,84592241;-32,87381991;557
I485;500070602;Intersercción;581;225;27;88;114;17;52;34;135;14;71;221;13;547;15;0;0;2;8;Residencial urbano;Urbano;-68,85629868;-32,87330026;558
I486;500070602;Intersercción;581;225;27;88;114;17;52;34;135;14;71;221;13;547;15;0;0;2;7;Residencial urbano;Urbano;-68,85638329;-32,87384137;559
I487;500070606;Intersercción;1255;422;37;280;178;41;295;63;263;37;104;315;34;1121;67;10;0;33;19;Residencial urbano;Urbano;-68,8501003;-32,87386105;560
I488;500071111;Intersercción;575;186;26;88;99;16;68;30;138;24;65;191;11;529;20;0;0;1;13;Residencial urbano;Urbano;-68,84989857;-32,87309437;561
I489;500070804;Intersercción;277;108;5;33;58;7;27;13;67;12;18;116;12;267;6;0;0;0;45;Comercial;Altamente urbano;-68,8350337;-32,89710566;562
I490;500070804;Intersercción;277;108;5;33;58;7;27;13;67;12;18;116;12;267;6;0;0;0;27;Comercial;Altamente urbano;-68,83524582;-32,89798959;563
I491;500070804;Intersercción;277;108;5;33;58;7;27;13;67;12;18;116;12;267;6;0;0;0;33;Comercial;Altamente urbano;-68,8361546;-32,8978375;564
I492;500070908;Intersercción;681;221;14;64;195;17;112;14;109;14;61;283;26;615;47;0;1;3;3;Residencial urbano;Urbano;-68,86256663;-32,89685041;565
I493;500070909;Intersercción;264;82;2;39;46;11;19;6;66;14;22;108;8;243;13;0;0;0;5;Residencial urbano;Urbano;-68,86281063;-32,89803189;566
I494;500070909;Intersercción;264;82;2;39;46;11;19;6;66;14;22;108;8;243;13;0;0;0;4;Especial Parque Gral. San Marti­n;Especial;-68,86347331;-32,89802359;567
I495;500070908;Intersercción;681;221;14;64;195;17;112;14;109;14;61;283;26;615;47;0;1;3;4;Residencial urbano;Urbano;-68,86200015;-32,8968588;568
I496;500070907;Intersercción;647;256;14;70;127;11;70;19;117;12;66;302;30;616;18;0;0;1;6;Residencial urbano;Urbano;-68,86218002;-32,89804021;569
I497;500070801;Intersercción;562;164;17;106;53;21;66;19;97;22;68;223;14;510;25;0;0;2;1;Central;Altamente urbano;-68,8482426;-32,89803309;570
I498;500070801;Intersercción;562;164;17;106;53;21;66;19;97;22;68;223;14;510;25;0;0;2;3;Central;Altamente urbano;-68,84801873;-32,89769017;571
I499;500070801;Intersercción;562;164;17;106;53;21;66;19;97;22;68;223;14;510;25;0;0;2;7;Central;Altamente urbano;-68,84986737;-32,89793586;572
I500;500070908;Intersercción;681;221;14;64;195;17;112;14;109;14;61;283;26;615;47;0;1;3;11;Residencial urbano;Urbano;-68,86084581;-32,89687555;573
I501;500070907;Intersercción;647;256;14;70;127;11;70;19;117;12;66;302;30;616;18;0;0;1;15;Residencial urbano;Urbano;-68,86098291;-32,89805692;574
I502;500070801;Intersercción;562;164;17;106;53;21;66;19;97;22;68;223;14;510;25;0;0;2;1;Central;Altamente urbano;-68,8475371;-32,89807731;575
I503;500070906;Intersercción;672;269;15;103;110;21;68;29;110;33;76;292;17;627;22;1;0;0;26;Residencial urbano;Urbano;-68,85948649;-32,89810033;576
I504;500070902;Intersercción;564;190;12;48;113;5;56;16;101;22;71;261;18;538;13;0;0;0;19;Residencial urbano;Urbano;-68,85937083;-32,89689194;577
I505;500071309;Intersercción;1365;333;52;507;29;73;552;116;278;74;40;23;1;1101;149;27;72;131;;Residencial de uso controlado;Interfaz;-68,89405213;-32,89816145;578
I506;500071309;Intersercción;1365;333;52;507;29;73;552;116;278;74;40;23;1;1101;149;27;72;131;;Residencial de uso controlado;Interfaz;-68,89642564;-32,89754127;579
I507;500071309;Intersercción;1365;333;52;507;29;73;552;116;278;74;40;23;1;1101;149;27;72;131;;Residencial de uso controlado;Interfaz;-68,89404143;-32,89817045;580
I508;500070906;Intersercción;672;269;15;103;110;21;68;29;110;33;76;292;17;627;22;1;0;0;15;Residencial urbano;Urbano;-68,85820385;-32,89813495;581
I509;500070902;Intersercción;564;190;12;48;113;5;56;16;101;22;71;261;18;538;13;0;0;0;13;Residencial urbano;Urbano;-68,85813099;-32,89690857;582
I510;500070801;Intersercción;562;164;17;106;53;21;66;19;97;22;68;223;14;510;25;0;0;2;1;Central;Altamente urbano;-68,84809275;-32,89815914;583
I511;500070801;Intersercción;562;164;17;106;53;21;66;19;97;22;68;223;14;510;25;0;0;2;1;Central;Altamente urbano;-68,84786827;-32,8981769;584
I512;500070905;Intersercción;697;295;31;92;109;20;41;30;111;14;55;367;29;651;24;1;1;1;9;Residencial urbano;Urbano;-68,8568891;-32,89819657;585
I513;500070903;Intersercción;567;199;13;64;122;11;41;23;95;9;48;304;16;541;9;1;0;0;8;Residencial urbano;Urbano;-68,85677357;-32,89692506;586
I514;500070801;Intersercción;562;164;17;106;53;21;66;19;97;22;68;223;14;510;25;0;0;2;3;Central;Altamente urbano;-68,8451962;-32,89818264;587
