Marca temporal,ID,Tipo de punto,Numero,Clasificacion,ClasificacionNum,TipoResiduo,Cantidad,CantidadNum,¿Se realiza recolección en el momento?,Calidad (grupos)
15/04/2020 10:25:52 a.m.,PV1,Punto Verde,1,Regular,2.00,Plástico,Medio,2.00,Sí,Regular
15/04/2020 10:25:52 a.m.,PV1,Punto Verde,1,Regular,2.00,Papel,Medio,2.00,Sí,Regular
15/04/2020 10:25:52 a.m.,PV1,Punto Verde,1,Regular,2.00,"Vidrio, Metal, Tetra",Medio,2.00,Sí,Regular
17/03/2020 05:25:59 p.m.,PV34,Punto Verde,34,Buena,1.00,Papel,Alto,3.00,Sí,Buena
17/03/2020 05:25:59 p.m.,PV34,Punto Verde,34,Buena,1.00,Plástico,Alto,3.00,Sí,Buena
17/03/2020 05:25:59 p.m.,PV34,Punto Verde,34,Buena,1.00,"Vidrio, Metal, Tetra",Medio,2.00,Sí,Buena
17/03/2020 05:26:42 p.m.,PV35,Punto Verde,35,Buena,1.00,Papel,Medio,2.00,Sí,Buena
17/03/2020 05:26:42 p.m.,PV35,Punto Verde,35,Buena,1.00,"Vidrio, Metal, Tetra",Medio,2.00,Sí,Buena
17/03/2020 05:26:42 p.m.,PV35,Punto Verde,35,Buena,1.00,Plástico,Medio,2.00,Sí,Buena
17/03/2020 05:27:51 p.m.,PV36,Punto Verde,36,Buena,1.00,Plástico,Alto,3.00,Sí,Buena
17/03/2020 05:27:51 p.m.,PV36,Punto Verde,36,Buena,1.00,Papel,Medio,2.00,Sí,Buena
17/03/2020 05:27:51 p.m.,PV36,Punto Verde,36,Buena,1.00,"Vidrio, Metal, Tetra",Medio,2.00,Sí,Buena
17/03/2020 05:29:30 p.m.,PV31,Punto Verde,31,Regular,2.00,Plástico,Medio,2.00,Sí,Regular
17/03/2020 05:29:30 p.m.,PV31,Punto Verde,31,Regular,2.00,Papel,Medio,2.00,Sí,Regular
17/03/2020 05:29:30 p.m.,PV31,Punto Verde,31,Regular,2.00,"Vidrio, Metal, Tetra",Bajo,1.00,Sí,Regular
17/03/2020 05:33:16 p.m.,PV21,Punto Verde,21,Buena,1.00,Papel,Medio,2.00,Sí,Buena
17/03/2020 05:33:16 p.m.,PV21,Punto Verde,21,Buena,1.00,"Vidrio, Metal, Tetra",Medio,2.00,Sí,Buena
17/03/2020 05:33:16 p.m.,PV21,Punto Verde,21,Buena,1.00,Plástico,Medio,2.00,Sí,Buena
17/03/2020 05:33:53 p.m.,PV20,Punto Verde,20,Buena,1.00,"Vidrio, Metal, Tetra",Bajo,1.00,Sí,Buena
17/03/2020 05:33:53 p.m.,PV20,Punto Verde,20,Buena,1.00,Papel,Medio,2.00,Sí,Buena
17/03/2020 05:33:53 p.m.,PV20,Punto Verde,20,Buena,1.00,Plástico,Medio,2.00,Sí,Buena
17/03/2020 05:54:31 p.m.,PV23,Punto Verde,23,Buena,1.00,Papel,Alto,3.00,Sí,Buena
17/03/2020 05:54:31 p.m.,PV23,Punto Verde,23,Buena,1.00,"Vidrio, Metal, Tetra",Alto,3.00,Sí,Buena
17/03/2020 05:54:31 p.m.,PV23,Punto Verde,23,Buena,1.00,Plástico,Alto,3.00,Sí,Buena
17/03/2020 05:58:53 p.m.,PV11,Punto Verde,11,Buena,1.00,Papel,Alto,3.00,Sí,Buena
17/03/2020 05:58:53 p.m.,PV11,Punto Verde,11,Buena,1.00,"Vidrio, Metal, Tetra",Alto,3.00,Sí,Buena
17/03/2020 05:58:53 p.m.,PV11,Punto Verde,11,Buena,1.00,Plástico,Alto,3.00,Sí,Buena
17/03/2020 06:00:20 p.m.,PV7,Punto Verde,7,Buena,1.00,Papel,Alto,3.00,Sí,Buena
17/03/2020 06:00:20 p.m.,PV7,Punto Verde,7,Buena,1.00,Plástico,Alto,3.00,Sí,Buena
17/03/2020 06:00:20 p.m.,PV7,Punto Verde,7,Buena,1.00,"Vidrio, Metal, Tetra",Medio,2.00,Sí,Buena
17/03/2020 06:01:05 p.m.,PV3,Punto Verde,3,Buena,1.00,Papel,Medio,2.00,Sí,Buena
17/03/2020 06:01:05 p.m.,PV3,Punto Verde,3,Buena,1.00,"Vidrio, Metal, Tetra",Medio,2.00,Sí,Buena
17/03/2020 06:01:05 p.m.,PV3,Punto Verde,3,Buena,1.00,Plástico,Medio,2.00,Sí,Buena
17/03/2020 06:02:59 p.m.,PV1,Punto Verde,1,Buena,1.00,Papel,Alto,3.00,Sí,Buena
17/03/2020 06:02:59 p.m.,PV1,Punto Verde,1,Buena,1.00,"Vidrio, Metal, Tetra",Alto,3.00,Sí,Buena
17/03/2020 06:02:59 p.m.,PV1,Punto Verde,1,Buena,1.00,Plástico,Alto,3.00,Sí,Buena
17/03/2020 10:12:22 a.m.,PV8,Punto Verde,8,Buena,1.00,"Vidrio, Metal, Tetra",Bajo,1.00,Sí,Buena
17/03/2020 10:12:22 a.m.,PV8,Punto Verde,8,Buena,1.00,Plástico,Alto,3.00,Sí,Buena
17/03/2020 10:12:22 a.m.,PV8,Punto Verde,8,Buena,1.00,Papel,Medio,2.00,Sí,Buena
17/03/2020 10:15:10 a.m.,PV18,Punto Verde,18,Buena,1.00,"Vidrio, Metal, Tetra",Bajo,1.00,Sí,Buena
17/03/2020 10:15:10 a.m.,PV18,Punto Verde,18,Buena,1.00,Plástico,Alto,3.00,Sí,Buena
17/03/2020 10:15:10 a.m.,PV18,Punto Verde,18,Buena,1.00,Papel,Medio,2.00,Sí,Buena
17/03/2020 10:17:23 a.m.,PV19,Punto Verde,19,Buena,1.00,Papel,Medio,2.00,Sí,Buena
17/03/2020 10:17:23 a.m.,PV19,Punto Verde,19,Buena,1.00,"Vidrio, Metal, Tetra",Medio,2.00,Sí,Buena
17/03/2020 10:17:23 a.m.,PV19,Punto Verde,19,Buena,1.00,Plástico,Medio,2.00,Sí,Buena
17/03/2020 10:20:10 a.m.,PV27,Punto Verde,27,Buena,1.00,Papel,Medio,2.00,Sí,Buena
17/03/2020 10:20:10 a.m.,PV27,Punto Verde,27,Buena,1.00,"Vidrio, Metal, Tetra",Medio,2.00,Sí,Buena
17/03/2020 10:20:10 a.m.,PV27,Punto Verde,27,Buena,1.00,Plástico,Medio,2.00,Sí,Buena
17/03/2020 10:21:04 a.m.,PV28,Punto Verde,28,Buena,1.00,"Vidrio, Metal, Tetra",Bajo,1.00,Sí,Buena
17/03/2020 10:21:04 a.m.,PV28,Punto Verde,28,Buena,1.00,Papel,Medio,2.00,Sí,Buena
17/03/2020 10:21:04 a.m.,PV28,Punto Verde,28,Buena,1.00,Plástico,Medio,2.00,Sí,Buena
17/03/2020 10:21:55 a.m.,PV25,Punto Verde,25,Buena,1.00,"Vidrio, Metal, Tetra",Bajo,1.00,Sí,Buena
17/03/2020 10:21:55 a.m.,PV25,Punto Verde,25,Buena,1.00,Papel,Medio,2.00,Sí,Buena
17/03/2020 10:21:55 a.m.,PV25,Punto Verde,25,Buena,1.00,Plástico,Medio,2.00,Sí,Buena
17/03/2020 10:22:31 a.m.,PV24,Punto Verde,24,Buena,1.00,"Vidrio, Metal, Tetra",Bajo,1.00,Sí,Buena
17/03/2020 10:22:31 a.m.,PV24,Punto Verde,24,Buena,1.00,Papel,Medio,2.00,Sí,Buena
17/03/2020 10:22:31 a.m.,PV24,Punto Verde,24,Buena,1.00,Plástico,Medio,2.00,Sí,Buena
17/03/2020 10:22:54 a.m.,PV29,Punto Verde,29,Buena,1.00,Papel,Medio,2.00,Sí,Buena
17/03/2020 10:22:54 a.m.,PV29,Punto Verde,29,Buena,1.00,"Vidrio, Metal, Tetra",Medio,2.00,Sí,Buena
17/03/2020 10:22:54 a.m.,PV29,Punto Verde,29,Buena,1.00,Plástico,Medio,2.00,Sí,Buena
17/03/2020 10:26:53 a.m.,PV32,Punto Verde,32,Buena,1.00,Papel,Medio,2.00,Sí,Buena
17/03/2020 10:26:53 a.m.,PV32,Punto Verde,32,Buena,1.00,"Vidrio, Metal, Tetra",Medio,2.00,Sí,Buena
17/03/2020 10:26:53 a.m.,PV32,Punto Verde,32,Buena,1.00,Plástico,Medio,2.00,Sí,Buena
