SeccionNombreCompleto,Zonificacion,Clasificacion,DensidadPoblacion,SeccionNro,SeccionNombre,RacioCensal,Poblacion,Hogares,Desocupados,Edad 0 a 14,Edad mayor 65,InicialCompleto,PrimarioCompleto,EGBCompleto,SecundarioCompleto,PolimodalCompleto,SuperiorCompleto,UniversitarioCompleto,PostgradoCompleto,LeeEscribe,NoLeeEscribe,Hacinamiento,RedAguaNO,CloacaNO,PVNum,PVNom,Direccion,x_wgs,y_wgs,id,fid,Densidad comercial
6ta Seccion Residencial Norte,Residencial urbano,Urbano,45.097,6,Residencial Norte,500071101,643,210,12,94,101,16,58,37,93,25,57,294,32,598,22,0,1,2,,,,-68.85846,-32.86414,"-68,85846-32,86414",480,0.11018
6ta Seccion Residencial Norte,Residencial urbano,Urbano,45.097,6,Residencial Norte,500071101,643,210,12,94,101,16,58,37,93,25,57,294,32,598,22,0,1,2,,,,-68.85847,-32.86471,"-68,85847-32,86471",718,0.58697
6ta Seccion Residencial Norte,Residencial urbano,Urbano,45.097,6,Residencial Norte,500071101,643,210,12,94,101,16,58,37,93,25,57,294,32,598,22,0,1,2,,,,-68.85838,-32.86632,"-68,85838-32,86632",1646,2.51102
6ta Seccion Residencial Norte,Residencial urbano,Urbano,45.097,6,Residencial Norte,500071101,643,210,12,94,101,16,58,37,93,25,57,294,32,598,22,0,1,2,,,,-68.85696,-32.86675,"-68,85696-32,86675",2596,3.14535
6ta Seccion Residencial Norte,Residencial urbano,Urbano,45.097,6,Residencial Norte,500071101,643,210,12,94,101,16,58,37,93,25,57,294,32,598,22,0,1,2,,,,-68.85688,-32.86915,"-68,85688-32,86915",3761,19.37681
,Residencial urbano,Urbano,,,,,,,,,,,,,,,,,,,,,,,,,,-68.86118,-32.86345,"-68,86118-32,86345",238,0.53248
6ta Seccion Residencial Norte,Residencial urbano,Urbano,77.932,6,Residencial Norte,500071104,796,294,35,127,164,25,124,27,222,33,88,214,25,738,30,0,0,0,,,,-68.84755,-32.86344,"-68,84755-32,86344",241,1.82803
6ta Seccion Residencial Norte,Residencial urbano,Urbano,,6,Residencial Norte,500491217,733,235,21,158,50,28,111,16,180,19,100,234,5,672,32,0,0,0,,,,-68.85596,-32.86346,"-68,85596-32,86346",246,0.81721
6ta Seccion Residencial Norte,Comercial,Altamente urbano,64.226,6,Residencial Norte,500071113,500,179,13,70,117,11,92,18,137,16,67,120,14,473,13,2,0,0,,,,-68.84605,-32.8738,"-68,84605-32,8738",2412,4.26758
6ta Seccion Residencial Norte,Comercial,Altamente urbano,64.226,6,Residencial Norte,500071113,500,179,13,70,117,11,92,18,137,16,67,120,14,473,13,2,0,0,,,,-68.84592,-32.87382,"-68,84592-32,87382",2429,4.64106
6ta Seccion Residencial Norte,Residencial urbano,Urbano,81.321,6,Residencial Norte,500071105,825,310,22,122,189,26,141,28,235,37,73,238,6,771,29,1,0,2,,,,-68.84762,-32.86621,"-68,84762-32,86621",1547,6.72471
,,,,,,500491118,821,210,36,230,61,50,285,68,226,73,17,28,1,702,72,10,2,2,,,,-68.86424,-32.86363,"-68,86424-32,86363",302,0.4727
6ta Seccion Residencial Norte,Residencial urbano,Urbano,81.321,6,Residencial Norte,500071105,825,310,22,122,189,26,141,28,235,37,73,238,6,771,29,1,0,2,,,,-68.8495,-32.86632,"-68,8495-32,86632",1654,4.73232
,Comercial,Altamente urbano,71.373,4,,500070701,643,212,25,104,87,17,118,29,171,42,66,145,19,595,20,3,0,8,,,,-68.84205,-32.86365,"-68,84205-32,86365",323,8.35445
